seed_type,scov_type,time,scov
SVRM,edge,0,0.0
SVRM,edge,1,8.2
SVRM,edge,1001,121.0
SVRM,edge,2001,170.2
SVRM,edge,3001,194.6
SVRM,edge,4001,207.8
SVRM,edge,5001,210.2
SVRM,edge,6001,212.8
SVRM,edge,7001,215.8
SVRM,edge,8001,217.8
SVRM,edge,9001,220.6
SVRM,edge,10001,222.2
SVRM,edge,11001,223.6
SVRM,edge,12001,225.0
SVRM,edge,13001,225.6
SVRM,edge,14001,226.6
SVRM,edge,15001,227.4
SVRM,edge,16001,229.2
SVRM,edge,17001,230.2
SVRM,edge,18001,230.6
SVRM,edge,19001,231.0
SVRM,edge,20001,231.2
SVRM,edge,21001,231.6
SVRM,edge,22001,231.8
SVRM,edge,23001,231.8
SVRM,edge,24001,231.8
SVRM,edge,25001,231.8
SVRM,edge,26001,232.0
SVRM,edge,27001,232.2
SVRM,edge,28001,232.4
SVRM,edge,29001,232.6
SVRM,edge,30001,232.8
SVRM,edge,31001,233.0
SVRM,edge,32001,233.0
SVRM,edge,33001,233.0
SVRM,edge,34001,233.0
SVRM,edge,35001,233.2
SVRM,edge,36001,233.2
SVRM,edge,37001,233.4
SVRM,edge,38001,233.4
SVRM,edge,39001,233.6
SVRM,edge,40001,233.8
SVRM,edge,41001,233.8
SVRM,edge,42001,234.0
SVRM,edge,43001,234.0
SVRM,node,0,0.0
SVRM,node,1,8.4
SVRM,node,1001,23.2
SVRM,node,2001,25.8
SVRM,node,3001,26.4
SVRM,node,4001,26.6
SVRM,node,5001,26.6
SVRM,node,6001,26.6
SVRM,node,7001,26.8
SVRM,node,8001,26.8
SVRM,node,9001,26.8
SVRM,node,10001,26.8
SVRM,node,11001,26.8
SVRM,node,12001,26.8
SVRM,node,13001,26.8
SVRM,node,14001,26.8
SVRM,node,15001,26.8
SVRM,node,16001,26.8
SVRM,node,17001,26.8
SVRM,node,18001,26.8
SVRM,node,19001,26.8
SVRM,node,20001,26.8
SVRM,node,21001,26.8
SVRM,node,22001,26.8
SVRM,node,23001,26.8
SVRM,node,24001,26.8
SVRM,node,25001,26.8
SVRM,node,26001,26.8
SVRM,node,27001,26.8
SVRM,node,28001,26.8
SVRM,node,29001,26.8
SVRM,node,30001,26.8
SVRM,node,31001,26.8
SVRM,node,32001,26.8
SVRM,node,33001,26.8
SVRM,node,34001,26.8
SVRM,node,35001,26.8
SVRM,node,36001,26.8
SVRM,node,37001,26.8
SVRM,node,38001,26.8
SVRM,node,39001,26.8
SVRM,node,40001,26.8
SVRM,node,41001,26.8
SVRM,node,42001,26.8
SVRM,node,43001,26.8
SVRM,l_abs,0,0.0
SVRM,l_abs,1,740.8
SVRM,l_abs,1001,1031.8
SVRM,l_abs,2001,1181.6
SVRM,l_abs,3001,1214.2
SVRM,l_abs,4001,1229.0
SVRM,l_abs,5001,1236.2
SVRM,l_abs,6001,1238.8
SVRM,l_abs,7001,1240.2
SVRM,l_abs,8001,1241.4
SVRM,l_abs,9001,1244.2
SVRM,l_abs,10001,1244.8
SVRM,l_abs,11001,1244.8
SVRM,l_abs,12001,1245.8
SVRM,l_abs,13001,1246.4
SVRM,l_abs,14001,1247.0
SVRM,l_abs,15001,1247.0
SVRM,l_abs,16001,1247.0
SVRM,l_abs,17001,1247.4
SVRM,l_abs,18001,1247.4
SVRM,l_abs,19001,1247.6
SVRM,l_abs,20001,1247.6
SVRM,l_abs,21001,1247.6
SVRM,l_abs,22001,1247.6
SVRM,l_abs,23001,1247.6
SVRM,l_abs,24001,1247.6
SVRM,l_abs,25001,1247.6
SVRM,l_abs,26001,1247.6
SVRM,l_abs,27001,1247.6
SVRM,l_abs,28001,1247.6
SVRM,l_abs,29001,1247.6
SVRM,l_abs,30001,1247.6
SVRM,l_abs,31001,1252.0
SVRM,l_abs,32001,1252.0
SVRM,l_abs,33001,1252.0
SVRM,l_abs,34001,1252.0
SVRM,l_abs,35001,1252.0
SVRM,l_abs,36001,1252.0
SVRM,l_abs,37001,1252.0
SVRM,l_abs,38001,1252.0
SVRM,l_abs,39001,1252.0
SVRM,l_abs,40001,1252.0
SVRM,l_abs,41001,1252.0
SVRM,l_abs,42001,1252.0
SVRM,l_abs,43001,1252.0
SVRM,b_abs,0,0.0
SVRM,b_abs,1,253.6
SVRM,b_abs,1001,372.4
SVRM,b_abs,2001,438.0
SVRM,b_abs,3001,452.4
SVRM,b_abs,4001,458.8
SVRM,b_abs,5001,463.0
SVRM,b_abs,6001,465.0
SVRM,b_abs,7001,465.6
SVRM,b_abs,8001,466.6
SVRM,b_abs,9001,469.4
SVRM,b_abs,10001,469.4
SVRM,b_abs,11001,469.4
SVRM,b_abs,12001,470.8
SVRM,b_abs,13001,471.4
SVRM,b_abs,14001,471.8
SVRM,b_abs,15001,471.8
SVRM,b_abs,16001,472.2
SVRM,b_abs,17001,472.6
SVRM,b_abs,18001,472.6
SVRM,b_abs,19001,472.8
SVRM,b_abs,20001,472.8
SVRM,b_abs,21001,473.0
SVRM,b_abs,22001,473.0
SVRM,b_abs,23001,473.0
SVRM,b_abs,24001,473.0
SVRM,b_abs,25001,473.0
SVRM,b_abs,26001,473.0
SVRM,b_abs,27001,473.0
SVRM,b_abs,28001,473.0
SVRM,b_abs,29001,473.0
SVRM,b_abs,30001,473.0
SVRM,b_abs,31001,474.8
SVRM,b_abs,32001,474.8
SVRM,b_abs,33001,474.8
SVRM,b_abs,34001,474.8
SVRM,b_abs,35001,474.8
SVRM,b_abs,36001,474.8
SVRM,b_abs,37001,474.8
SVRM,b_abs,38001,474.8
SVRM,b_abs,39001,474.8
SVRM,b_abs,40001,474.8
SVRM,b_abs,41001,474.8
SVRM,b_abs,42001,474.8
SVRM,b_abs,43001,474.8
Manual,edge,0,0.0
Manual,edge,1,14.6
Manual,edge,1001,129.4
Manual,edge,2001,150.4
Manual,edge,3001,172.2
Manual,edge,4001,181.2
Manual,edge,5001,188.8
Manual,edge,6001,191.8
Manual,edge,7001,195.6
Manual,edge,8001,197.2
Manual,edge,9001,199.6
Manual,edge,10001,201.8
Manual,edge,11001,205.0
Manual,edge,12001,207.0
Manual,edge,13001,207.8
Manual,edge,14001,210.6
Manual,edge,15001,212.0
Manual,edge,16001,212.6
Manual,edge,17001,213.8
Manual,edge,18001,214.2
Manual,edge,19001,215.2
Manual,edge,20001,216.2
Manual,edge,21001,216.8
Manual,edge,22001,217.6
Manual,edge,23001,218.2
Manual,edge,24001,218.6
Manual,edge,25001,219.8
Manual,edge,26001,220.0
Manual,edge,27001,220.4
Manual,edge,28001,220.8
Manual,edge,29001,221.0
Manual,edge,30001,221.6
Manual,edge,31001,222.6
Manual,edge,32001,223.4
Manual,edge,33001,223.8
Manual,edge,34001,223.8
Manual,edge,35001,224.4
Manual,edge,36001,224.8
Manual,edge,37001,225.0
Manual,edge,38001,225.6
Manual,edge,39001,225.8
Manual,edge,40001,226.0
Manual,edge,41001,226.0
Manual,edge,42001,226.0
Manual,edge,43001,226.2
Manual,node,0,0.0
Manual,node,1,10.8
Manual,node,1001,25.6
Manual,node,2001,26.4
Manual,node,3001,26.6
Manual,node,4001,26.6
Manual,node,5001,26.6
Manual,node,6001,26.6
Manual,node,7001,26.6
Manual,node,8001,26.6
Manual,node,9001,26.6
Manual,node,10001,26.6
Manual,node,11001,26.6
Manual,node,12001,26.6
Manual,node,13001,26.6
Manual,node,14001,26.8
Manual,node,15001,26.8
Manual,node,16001,26.8
Manual,node,17001,26.8
Manual,node,18001,26.8
Manual,node,19001,26.8
Manual,node,20001,26.8
Manual,node,21001,26.8
Manual,node,22001,26.8
Manual,node,23001,26.8
Manual,node,24001,26.8
Manual,node,25001,26.8
Manual,node,26001,26.8
Manual,node,27001,26.8
Manual,node,28001,26.8
Manual,node,29001,26.8
Manual,node,30001,26.8
Manual,node,31001,26.8
Manual,node,32001,26.8
Manual,node,33001,26.8
Manual,node,34001,26.8
Manual,node,35001,26.8
Manual,node,36001,26.8
Manual,node,37001,26.8
Manual,node,38001,26.8
Manual,node,39001,26.8
Manual,node,40001,26.8
Manual,node,41001,26.8
Manual,node,42001,26.8
Manual,node,43001,26.8
Manual,l_abs,0,0.0
Manual,l_abs,1,767.4
Manual,l_abs,1001,1154.8
Manual,l_abs,2001,1175.8
Manual,l_abs,3001,1201.2
Manual,l_abs,4001,1206.6
Manual,l_abs,5001,1219.0
Manual,l_abs,6001,1222.2
Manual,l_abs,7001,1227.0
Manual,l_abs,8001,1228.2
Manual,l_abs,9001,1229.4
Manual,l_abs,10001,1230.0
Manual,l_abs,11001,1230.2
Manual,l_abs,12001,1230.4
Manual,l_abs,13001,1230.6
Manual,l_abs,14001,1232.0
Manual,l_abs,15001,1232.0
Manual,l_abs,16001,1233.0
Manual,l_abs,17001,1239.2
Manual,l_abs,18001,1239.2
Manual,l_abs,19001,1239.2
Manual,l_abs,20001,1239.2
Manual,l_abs,21001,1239.2
Manual,l_abs,22001,1239.4
Manual,l_abs,23001,1239.4
Manual,l_abs,24001,1239.4
Manual,l_abs,25001,1240.0
Manual,l_abs,26001,1243.0
Manual,l_abs,27001,1243.0
Manual,l_abs,28001,1243.0
Manual,l_abs,29001,1243.0
Manual,l_abs,30001,1244.0
Manual,l_abs,31001,1244.0
Manual,l_abs,32001,1244.0
Manual,l_abs,33001,1244.0
Manual,l_abs,34001,1244.0
Manual,l_abs,35001,1244.0
Manual,l_abs,36001,1244.0
