seed_type,run,scov_type,time,scov
SVRM,4,l_abs,1709460622,731
SVRM,4,l_abs,1709460624,776
SVRM,4,l_abs,1709460625,776
SVRM,4,l_abs,1709460626,786
SVRM,4,l_abs,1709460628,859
SVRM,4,l_abs,1709460630,860
SVRM,4,l_abs,1709460631,860
SVRM,4,l_abs,1709460633,860
SVRM,4,l_abs,1709460635,860
SVRM,4,l_abs,1709460636,860
SVRM,4,l_abs,1709460637,860
SVRM,4,l_abs,1709460639,860
SVRM,4,l_abs,1709460640,860
SVRM,4,l_abs,1709460642,860
SVRM,4,l_abs,1709460644,873
SVRM,4,l_abs,1709460645,873
SVRM,4,l_abs,1709460646,873
SVRM,4,l_abs,1709460648,873
SVRM,4,l_abs,1709460649,877
SVRM,4,l_abs,1709460651,877
SVRM,4,l_abs,1709460652,877
SVRM,4,l_abs,1709460654,877
SVRM,4,l_abs,1709460656,877
SVRM,4,l_abs,1709460657,877
SVRM,4,l_abs,1709460659,877
SVRM,4,l_abs,1709460660,877
SVRM,4,l_abs,1709460662,877
SVRM,4,l_abs,1709460664,877
SVRM,4,l_abs,1709460665,877
SVRM,4,l_abs,1709460666,881
SVRM,4,l_abs,1709460667,881
SVRM,4,l_abs,1709460668,881
SVRM,4,l_abs,1709460669,881
SVRM,4,l_abs,1709460670,881
SVRM,4,l_abs,1709460671,881
SVRM,4,l_abs,1709460673,881
SVRM,4,l_abs,1709460674,881
SVRM,4,l_abs,1709460676,881
SVRM,4,l_abs,1709460677,881
SVRM,4,l_abs,1709460678,881
SVRM,4,l_abs,1709460680,881
SVRM,4,l_abs,1709460682,881
SVRM,4,l_abs,1709460684,881
SVRM,4,l_abs,1709460685,881
SVRM,4,l_abs,1709460686,881
SVRM,4,l_abs,1709460688,881
SVRM,4,l_abs,1709460689,881
SVRM,4,l_abs,1709460691,881
SVRM,4,l_abs,1709460692,881
SVRM,4,l_abs,1709460693,883
SVRM,4,l_abs,1709460695,883
SVRM,4,l_abs,1709460696,883
SVRM,4,l_abs,1709460697,883
SVRM,4,l_abs,1709460698,883
SVRM,4,l_abs,1709460699,883
SVRM,4,l_abs,1709460701,883
SVRM,4,l_abs,1709460703,883
SVRM,4,l_abs,1709460704,883
SVRM,4,l_abs,1709460706,883
SVRM,4,l_abs,1709460707,883
SVRM,4,l_abs,1709460709,883
SVRM,4,l_abs,1709460710,883
SVRM,4,l_abs,1709460711,883
SVRM,4,l_abs,1709460712,883
SVRM,4,l_abs,1709460713,883
SVRM,4,l_abs,1709460715,883
SVRM,4,l_abs,1709460716,883
SVRM,4,l_abs,1709460717,883
SVRM,4,l_abs,1709460718,883
SVRM,4,l_abs,1709460720,883
SVRM,4,l_abs,1709460721,883
SVRM,4,l_abs,1709460722,883
SVRM,4,l_abs,1709460724,883
SVRM,4,l_abs,1709460725,883
SVRM,4,l_abs,1709460727,883
SVRM,4,l_abs,1709460728,883
SVRM,4,l_abs,1709460728,883
SVRM,4,l_abs,1709460730,883
SVRM,4,l_abs,1709460731,885
SVRM,4,l_abs,1709460732,885
SVRM,4,l_abs,1709460734,885
SVRM,4,l_abs,1709460736,885
SVRM,4,l_abs,1709460737,885
SVRM,4,l_abs,1709460739,885
SVRM,4,l_abs,1709460740,885
SVRM,4,l_abs,1709460742,885
SVRM,4,l_abs,1709460742,885
SVRM,4,l_abs,1709460744,885
SVRM,4,l_abs,1709460745,885
SVRM,4,l_abs,1709460747,885
SVRM,4,l_abs,1709460749,885
SVRM,4,l_abs,1709460749,885
SVRM,4,l_abs,1709460751,885
SVRM,4,l_abs,1709460751,885
SVRM,4,l_abs,1709460753,885
SVRM,4,l_abs,1709460755,885
SVRM,4,l_abs,1709460755,885
SVRM,4,l_abs,1709460757,885
SVRM,4,l_abs,1709460758,885
SVRM,4,l_abs,1709460760,885
SVRM,4,l_abs,1709460761,885
SVRM,4,l_abs,1709460763,885
SVRM,4,l_abs,1709460765,885
SVRM,4,l_abs,1709460766,885
SVRM,4,l_abs,1709460767,885
SVRM,4,l_abs,1709460769,885
SVRM,4,l_abs,1709460770,885
SVRM,4,l_abs,1709460772,885
SVRM,4,l_abs,1709460773,885
SVRM,4,l_abs,1709460775,885
SVRM,4,l_abs,1709460777,885
SVRM,4,l_abs,1709460778,885
SVRM,4,l_abs,1709460780,885
SVRM,4,l_abs,1709460781,885
SVRM,4,l_abs,1709460783,885
SVRM,4,l_abs,1709460784,885
SVRM,4,l_abs,1709460786,885
SVRM,4,l_abs,1709460787,885
SVRM,4,l_abs,1709460789,885
SVRM,4,l_abs,1709460790,885
SVRM,4,l_abs,1709460791,885
SVRM,4,l_abs,1709460793,885
SVRM,4,l_abs,1709460794,885
SVRM,4,l_abs,1709460796,885
SVRM,4,l_abs,1709460797,885
SVRM,4,l_abs,1709460798,885
SVRM,4,l_abs,1709460800,885
SVRM,4,l_abs,1709460800,885
