seed_type,run,scov_type,time,scov
Manual,5,node,1709460673,7
Manual,5,edge,1709460673,7
Manual,5,node,1709460674,10
Manual,5,edge,1709460674,13
Manual,5,node,1709460675,12
Manual,5,edge,1709460675,17
Manual,5,node,1709460676,14
Manual,5,edge,1709460676,21
Manual,5,node,1709460676,16
Manual,5,edge,1709460676,26
Manual,5,node,1709460677,18
Manual,5,edge,1709460677,32
Manual,5,node,1709460678,18
Manual,5,edge,1709460678,33
Manual,5,node,1709460679,18
Manual,5,edge,1709460679,38
Manual,5,node,1709460681,18
Manual,5,edge,1709460681,38
Manual,5,node,1709460681,18
Manual,5,edge,1709460681,39
Manual,5,node,1709460681,18
Manual,5,edge,1709460681,41
Manual,5,node,1709460682,19
Manual,5,edge,1709460682,43
Manual,5,node,1709460682,20
Manual,5,edge,1709460682,45
Manual,5,node,1709460686,20
Manual,5,edge,1709460686,51
Manual,5,node,1709460688,20
Manual,5,edge,1709460688,51
Manual,5,node,1709460689,20
Manual,5,edge,1709460689,51
Manual,5,node,1709460690,20
Manual,5,edge,1709460690,52
Manual,5,node,1709460693,20
Manual,5,edge,1709460693,54
Manual,5,node,1709460695,22
Manual,5,edge,1709460695,58
Manual,5,node,1709460698,22
Manual,5,edge,1709460698,59
Manual,5,node,1709460700,23
Manual,5,edge,1709460700,61
Manual,5,node,1709460701,23
Manual,5,edge,1709460701,61
Manual,5,node,1709460703,23
Manual,5,edge,1709460703,63
Manual,5,node,1709460706,23
Manual,5,edge,1709460706,63
Manual,5,node,1709460710,23
Manual,5,edge,1709460710,64
Manual,5,node,1709460715,23
Manual,5,edge,1709460715,64
Manual,5,node,1709460716,23
Manual,5,edge,1709460716,64
Manual,5,node,1709460721,23
Manual,5,edge,1709460721,65
Manual,5,node,1709460722,23
Manual,5,edge,1709460722,67
Manual,5,node,1709460724,23
Manual,5,edge,1709460724,67
Manual,5,node,1709460727,23
Manual,5,edge,1709460727,67
Manual,5,node,1709460747,23
Manual,5,edge,1709460747,67
Manual,5,node,1709460752,23
Manual,5,edge,1709460752,67
Manual,5,node,1709460755,23
Manual,5,edge,1709460755,67
Manual,5,node,1709460763,23
Manual,5,edge,1709460763,68
Manual,5,node,1709460767,23
Manual,5,edge,1709460767,68
Manual,5,node,1709460775,23
Manual,5,edge,1709460775,68
Manual,5,node,1709460781,23
Manual,5,edge,1709460781,69
Manual,5,node,1709460790,23
Manual,5,edge,1709460790,70
Manual,5,node,1709460794,23
Manual,5,edge,1709460794,71
Manual,5,node,1709460796,23
Manual,5,edge,1709460796,71
Manual,5,node,1709460804,23
Manual,5,edge,1709460804,73
Manual,5,node,1709460818,23
Manual,5,edge,1709460818,74
Manual,5,node,1709460822,23
Manual,5,edge,1709460822,74
Manual,5,node,1709460827,23
Manual,5,edge,1709460827,74
Manual,5,node,1709460836,23
Manual,5,edge,1709460836,74
Manual,5,node,1709460840,23
Manual,5,edge,1709460840,74
Manual,5,node,1709460843,23
Manual,5,edge,1709460843,74
Manual,5,node,1709460857,23
Manual,5,edge,1709460857,74
Manual,5,node,1709460859,23
Manual,5,edge,1709460859,74
Manual,5,node,1709460862,24
Manual,5,edge,1709460862,79
Manual,5,node,1709460863,24
Manual,5,edge,1709460863,79
Manual,5,node,1709460868,24
Manual,5,edge,1709460868,80
Manual,5,node,1709460873,24
Manual,5,edge,1709460873,82
Manual,5,node,1709460875,24
Manual,5,edge,1709460875,83
Manual,5,node,1709460883,24
Manual,5,edge,1709460883,83
Manual,5,node,1709460899,24
Manual,5,edge,1709460899,83
Manual,5,node,1709460901,24
Manual,5,edge,1709460901,83
Manual,5,node,1709460902,24
Manual,5,edge,1709460902,83
Manual,5,node,1709460905,24
Manual,5,edge,1709460905,83
Manual,5,node,1709460906,24
Manual,5,edge,1709460906,83
Manual,5,node,1709460910,24
Manual,5,edge,1709460910,83
