seed_type,run,scov_type,time,scov
Manual,4,node,1709460671,7
Manual,4,edge,1709460671,7
Manual,4,node,1709460672,10
Manual,4,edge,1709460672,13
Manual,4,node,1709460673,12
Manual,4,edge,1709460673,17
Manual,4,node,1709460674,14
Manual,4,edge,1709460674,21
Manual,4,node,1709460674,16
Manual,4,edge,1709460674,26
Manual,4,node,1709460675,18
Manual,4,edge,1709460675,32
Manual,4,node,1709460677,18
Manual,4,edge,1709460677,33
Manual,4,node,1709460677,18
Manual,4,edge,1709460677,38
Manual,4,node,1709460679,18
Manual,4,edge,1709460679,38
Manual,4,node,1709460679,18
Manual,4,edge,1709460679,40
Manual,4,node,1709460680,19
Manual,4,edge,1709460680,42
Manual,4,node,1709460680,19
Manual,4,edge,1709460680,43
Manual,4,node,1709460681,20
Manual,4,edge,1709460681,45
Manual,4,node,1709460685,21
Manual,4,edge,1709460685,55
Manual,4,node,1709460686,21
Manual,4,edge,1709460686,57
Manual,4,node,1709460688,21
Manual,4,edge,1709460688,57
Manual,4,node,1709460689,21
Manual,4,edge,1709460689,60
Manual,4,node,1709460690,21
Manual,4,edge,1709460690,60
Manual,4,node,1709460692,21
Manual,4,edge,1709460692,60
Manual,4,node,1709460694,21
Manual,4,edge,1709460694,60
Manual,4,node,1709460698,21
Manual,4,edge,1709460698,61
Manual,4,node,1709460698,21
Manual,4,edge,1709460698,62
Manual,4,node,1709460701,21
Manual,4,edge,1709460701,62
Manual,4,node,1709460703,21
Manual,4,edge,1709460703,64
Manual,4,node,1709460706,21
Manual,4,edge,1709460706,64
Manual,4,node,1709460708,21
Manual,4,edge,1709460708,64
Manual,4,node,1709460709,21
Manual,4,edge,1709460709,64
Manual,4,node,1709460718,21
Manual,4,edge,1709460718,64
Manual,4,node,1709460720,21
Manual,4,edge,1709460720,65
Manual,4,node,1709460722,21
Manual,4,edge,1709460722,65
Manual,4,node,1709460724,21
Manual,4,edge,1709460724,66
Manual,4,node,1709460726,21
Manual,4,edge,1709460726,66
Manual,4,node,1709460728,21
Manual,4,edge,1709460728,67
Manual,4,node,1709460742,21
Manual,4,edge,1709460742,67
Manual,4,node,1709460749,21
Manual,4,edge,1709460749,67
Manual,4,node,1709460752,21
Manual,4,edge,1709460752,67
Manual,4,node,1709460764,21
Manual,4,edge,1709460764,67
Manual,4,node,1709460768,21
Manual,4,edge,1709460768,67
Manual,4,node,1709460774,21
Manual,4,edge,1709460774,67
Manual,4,node,1709460778,21
Manual,4,edge,1709460778,67
Manual,4,node,1709460781,21
Manual,4,edge,1709460781,67
Manual,4,node,1709460789,21
Manual,4,edge,1709460789,68
Manual,4,node,1709460803,21
Manual,4,edge,1709460803,68
Manual,4,node,1709460812,21
Manual,4,edge,1709460812,68
Manual,4,node,1709460821,21
Manual,4,edge,1709460821,68
Manual,4,node,1709460824,21
Manual,4,edge,1709460824,68
Manual,4,node,1709460826,21
Manual,4,edge,1709460826,69
Manual,4,node,1709460833,21
Manual,4,edge,1709460833,69
Manual,4,node,1709460835,21
Manual,4,edge,1709460835,70
Manual,4,node,1709460839,21
Manual,4,edge,1709460839,71
Manual,4,node,1709460845,21
Manual,4,edge,1709460845,71
Manual,4,node,1709460848,21
Manual,4,edge,1709460848,72
Manual,4,node,1709460851,21
Manual,4,edge,1709460851,72
Manual,4,node,1709460862,21
Manual,4,edge,1709460862,72
Manual,4,node,1709460865,21
Manual,4,edge,1709460865,73
Manual,4,node,1709460874,21
Manual,4,edge,1709460874,73
Manual,4,node,1709460879,21
Manual,4,edge,1709460879,73
Manual,4,node,1709460881,21
Manual,4,edge,1709460881,73
Manual,4,node,1709460885,23
Manual,4,edge,1709460885,76
Manual,4,node,1709460890,23
Manual,4,edge,1709460890,76
Manual,4,node,1709460893,23
Manual,4,edge,1709460893,76
Manual,4,node,1709460918,23
Manual,4,edge,1709460918,76
Manual,4,node,1709460923,23
Manual,4,edge,1709460923,76
Manual,4,node,1709460964,23
Manual,4,edge,1709460964,76
Manual,4,node,1709460992,23
Manual,4,edge,1709460992,77
Manual,4,node,1709461027,24
Manual,4,edge,1709461027,79
Manual,4,node,1709461029,24
Manual,4,edge,1709461029,80
Manual,4,node,1709461043,25
Manual,4,edge,1709461043,83
Manual,4,node,1709461050,25
Manual,4,edge,1709461050,83
Manual,4,node,1709461076,25
Manual,4,edge,1709461076,85
Manual,4,node,1709461093,25
Manual,4,edge,1709461093,86
Manual,4,node,1709461096,25
Manual,4,edge,1709461096,86
Manual,4,node,1709461098,25
Manual,4,edge,1709461098,86
Manual,4,node,1709461121,25
Manual,4,edge,1709461121,88
Manual,4,node,1709461130,25
Manual,4,edge,1709461130,90
Manual,4,node,1709461132,25
Manual,4,edge,1709461132,90
Manual,4,node,1709461134,25
Manual,4,edge,1709461134,90
Manual,4,node,1709461140,25
Manual,4,edge,1709461140,91
Manual,4,node,1709461145,25
Manual,4,edge,1709461145,91
Manual,4,node,1709461147,25
Manual,4,edge,1709461147,91
Manual,4,node,1709461157,25
Manual,4,edge,1709461157,91
Manual,4,node,1709461172,25
Manual,4,edge,1709461172,91
Manual,4,node,1709461179,25
Manual,4,edge,1709461179,91
Manual,4,node,1709461185,25
Manual,4,edge,1709461185,91
Manual,4,node,1709461188,25
Manual,4,edge,1709461188,91
Manual,4,node,1709461196,25
Manual,4,edge,1709461196,91
Manual,4,node,1709461215,25
Manual,4,edge,1709461215,91
Manual,4,node,1709461215,25
Manual,4,edge,1709461215,91
Manual,4,node,1709461230,25
Manual,4,edge,1709461230,91
Manual,4,node,1709461231,25
Manual,4,edge,1709461231,91
Manual,4,node,1709461234,25
Manual,4,edge,1709461234,94
Manual,4,node,1709461240,25
Manual,4,edge,1709461240,94
Manual,4,node,1709461252,25
Manual,4,edge,1709461252,96
Manual,4,node,1709461265,25
Manual,4,edge,1709461265,96
Manual,4,node,1709461275,25
Manual,4,edge,1709461275,96
Manual,4,node,1709461283,25
Manual,4,edge,1709461283,96
Manual,4,node,1709461288,25
Manual,4,edge,1709461288,96
Manual,4,node,1709461297,25
Manual,4,edge,1709461297,97
Manual,4,node,1709461300,25
Manual,4,edge,1709461300,97
Manual,4,node,1709461303,25
Manual,4,edge,1709461303,97
Manual,4,node,1709461307,25
Manual,4,edge,1709461307,98
Manual,4,node,1709461321,25
Manual,4,edge,1709461321,100
Manual,4,node,1709461328,25
Manual,4,edge,1709461328,101
Manual,4,node,1709461332,25
Manual,4,edge,1709461332,101
Manual,4,node,1709461334,25
Manual,4,edge,1709461334,101
Manual,4,node,1709461338,25
Manual,4,edge,1709461338,101
Manual,4,node,1709461344,25
Manual,4,edge,1709461344,103
Manual,4,node,1709461350,25
Manual,4,edge,1709461350,104
Manual,4,node,1709461361,25
Manual,4,edge,1709461361,105
Manual,4,node,1709461366,26
Manual,4,edge,1709461366,106
Manual,4,node,1709461368,26
Manual,4,edge,1709461368,106
Manual,4,node,1709461373,26
Manual,4,edge,1709461373,108
Manual,4,node,1709461374,26
Manual,4,edge,1709461374,112
Manual,4,node,1709461377,26
Manual,4,edge,1709461377,112
Manual,4,node,1709461379,27
Manual,4,edge,1709461379,114
Manual,4,node,1709461382,27
Manual,4,edge,1709461382,114
Manual,4,node,1709461386,27
Manual,4,edge,1709461386,114
Manual,4,node,1709461392,27
Manual,4,edge,1709461392,114
Manual,4,node,1709461406,27
Manual,4,edge,1709461406,114
Manual,4,node,1709461412,27
Manual,4,edge,1709461412,114
Manual,4,node,1709461414,27
Manual,4,edge,1709461414,114
Manual,4,node,1709461430,27
Manual,4,edge,1709461430,114
Manual,4,node,1709461433,27
Manual,4,edge,1709461433,116
Manual,4,node,1709461438,27
Manual,4,edge,1709461438,119
Manual,4,node,1709461444,27
Manual,4,edge,1709461444,119
Manual,4,node,1709461452,27
Manual,4,edge,1709461452,119
Manual,4,node,1709461456,27
Manual,4,edge,1709461456,120
Manual,4,node,1709461462,27
Manual,4,edge,1709461462,121
Manual,4,node,1709461469,27
Manual,4,edge,1709461469,122
Manual,4,node,1709461475,27
Manual,4,edge,1709461475,122
Manual,4,node,1709461495,27
Manual,4,edge,1709461495,122
Manual,4,node,1709461507,27
Manual,4,edge,1709461507,123
Manual,4,node,1709461509,27
Manual,4,edge,1709461509,124
Manual,4,node,1709461521,27
Manual,4,edge,1709461521,124
Manual,4,node,1709461525,27
Manual,4,edge,1709461525,124
Manual,4,node,1709461530,27
Manual,4,edge,1709461530,124
Manual,4,node,1709461535,27
Manual,4,edge,1709461535,125
Manual,4,node,1709461540,27
Manual,4,edge,1709461540,125
Manual,4,node,1709461546,27
Manual,4,edge,1709461546,126
Manual,4,node,1709461571,27
Manual,4,edge,1709461571,127
Manual,4,node,1709461577,27
Manual,4,edge,1709461577,128
Manual,4,node,1709461581,27
Manual,4,edge,1709461581,128
Manual,4,node,1709461583,27
Manual,4,edge,1709461583,128
Manual,4,node,1709461588,27
Manual,4,edge,1709461588,128
Manual,4,node,1709461599,27
Manual,4,edge,1709461599,130
Manual,4,node,1709461605,27
Manual,4,edge,1709461605,131
Manual,4,node,1709461616,27
Manual,4,edge,1709461616,131
Manual,4,node,1709461624,27
Manual,4,edge,1709461624,131
Manual,4,node,1709461641,27
Manual,4,edge,1709461641,132
Manual,4,node,1709461646,27
Manual,4,edge,1709461646,133
Manual,4,node,1709461660,27
Manual,4,edge,1709461660,133
Manual,4,node,1709461668,27
Manual,4,edge,1709461668,133
Manual,4,node,1709461671,27
Manual,4,edge,1709461671,135
Manual,4,node,1709461676,27
Manual,4,edge,1709461676,136
Manual,4,node,1709461691,27
Manual,4,edge,1709461691,136
Manual,4,node,1709461693,27
Manual,4,edge,1709461693,136
Manual,4,node,1709461703,27
Manual,4,edge,1709461703,136
Manual,4,node,1709461734,27
Manual,4,edge,1709461734,138
Manual,4,node,1709461740,27
Manual,4,edge,1709461740,138
Manual,4,node,1709461743,27
Manual,4,edge,1709461743,138
Manual,4,node,1709461756,27
Manual,4,edge,1709461756,139
Manual,4,node,1709461762,27
Manual,4,edge,1709461762,140
Manual,4,node,1709461765,27
Manual,4,edge,1709461765,140
Manual,4,node,1709461769,27
Manual,4,edge,1709461769,140
Manual,4,node,1709461772,27
Manual,4,edge,1709461772,140
Manual,4,node,1709461821,27
Manual,4,edge,1709461821,140
Manual,4,node,1709461832,27
Manual,4,edge,1709461832,140
Manual,4,node,1709461837,27
Manual,4,edge,1709461837,140
Manual,4,node,1709461848,27
Manual,4,edge,1709461848,141
Manual,4,node,1709461859,27
Manual,4,edge,1709461859,141
Manual,4,node,1709461860,27
Manual,4,edge,1709461860,141
Manual,4,node,1709461879,27
Manual,4,edge,1709461879,141
Manual,4,node,1709461911,27
Manual,4,edge,1709461911,142
Manual,4,node,1709461934,27
Manual,4,edge,1709461934,142
Manual,4,node,1709461946,27
Manual,4,edge,1709461946,142
Manual,4,node,1709461955,27
Manual,4,edge,1709461955,142
Manual,4,node,1709461960,27
Manual,4,edge,1709461960,142
Manual,4,node,1709461967,27
Manual,4,edge,1709461967,142
Manual,4,node,1709461984,27
Manual,4,edge,1709461984,142
Manual,4,node,1709461994,27
Manual,4,edge,1709461994,142
Manual,4,node,1709462001,27
Manual,4,edge,1709462001,142
Manual,4,node,1709462034,27
Manual,4,edge,1709462034,143
Manual,4,node,1709462053,27
Manual,4,edge,1709462053,143
Manual,4,node,1709462359,27
Manual,4,edge,1709462359,143
Manual,4,node,1709462364,27
Manual,4,edge,1709462364,143
Manual,4,node,1709462372,27
Manual,4,edge,1709462372,143
Manual,4,node,1709462392,27
Manual,4,edge,1709462392,143
Manual,4,node,1709462404,27
Manual,4,edge,1709462404,143
