seed_type,run,scov_type,time,scov
SVRM,1,node,1709460613,8
SVRM,1,edge,1709460613,7
SVRM,1,node,1709460615,10
SVRM,1,edge,1709460615,13
SVRM,1,node,1709460617,12
SVRM,1,edge,1709460617,15
SVRM,1,node,1709460618,12
SVRM,1,edge,1709460618,15
SVRM,1,node,1709460620,12
SVRM,1,edge,1709460620,17
SVRM,1,node,1709460621,12
SVRM,1,edge,1709460621,17
SVRM,1,node,1709460623,12
SVRM,1,edge,1709460623,17
SVRM,1,node,1709460625,12
SVRM,1,edge,1709460625,18
SVRM,1,node,1709460626,12
SVRM,1,edge,1709460626,20
SVRM,1,node,1709460627,12
SVRM,1,edge,1709460627,20
SVRM,1,node,1709460629,12
SVRM,1,edge,1709460629,20
SVRM,1,node,1709460630,12
SVRM,1,edge,1709460630,20
SVRM,1,node,1709460632,12
SVRM,1,edge,1709460632,22
SVRM,1,node,1709460634,12
SVRM,1,edge,1709460634,23
SVRM,1,node,1709460636,12
SVRM,1,edge,1709460636,24
SVRM,1,node,1709460638,12
SVRM,1,edge,1709460638,25
SVRM,1,node,1709460639,12
SVRM,1,edge,1709460639,26
SVRM,1,node,1709460641,13
SVRM,1,edge,1709460641,27
SVRM,1,node,1709460642,13
SVRM,1,edge,1709460642,27
SVRM,1,node,1709460649,13
SVRM,1,edge,1709460649,27
SVRM,1,node,1709460650,13
SVRM,1,edge,1709460650,28
SVRM,1,node,1709460657,13
SVRM,1,edge,1709460657,28
SVRM,1,node,1709460658,14
SVRM,1,edge,1709460658,30
SVRM,1,node,1709460658,14
SVRM,1,edge,1709460658,31
SVRM,1,node,1709460660,14
SVRM,1,edge,1709460660,31
SVRM,1,node,1709460661,14
SVRM,1,edge,1709460661,32
SVRM,1,node,1709460661,14
SVRM,1,edge,1709460661,33
SVRM,1,node,1709460663,14
SVRM,1,edge,1709460663,33
SVRM,1,node,1709460666,15
SVRM,1,edge,1709460666,34
SVRM,1,node,1709460668,15
SVRM,1,edge,1709460668,34
SVRM,1,node,1709460672,15
SVRM,1,edge,1709460672,34
SVRM,1,node,1709460683,15
SVRM,1,edge,1709460683,35
SVRM,1,node,1709460683,15
SVRM,1,edge,1709460683,36
SVRM,1,node,1709460686,15
SVRM,1,edge,1709460686,36
SVRM,1,node,1709460693,15
SVRM,1,edge,1709460693,37
SVRM,1,node,1709460694,15
SVRM,1,edge,1709460694,37
SVRM,1,node,1709460696,15
SVRM,1,edge,1709460696,37
SVRM,1,node,1709460701,15
SVRM,1,edge,1709460701,37
SVRM,1,node,1709460707,15
SVRM,1,edge,1709460707,37
SVRM,1,node,1709460720,15
SVRM,1,edge,1709460720,38
SVRM,1,node,1709460724,15
SVRM,1,edge,1709460724,38
SVRM,1,node,1709460726,15
SVRM,1,edge,1709460726,38
SVRM,1,node,1709460731,15
SVRM,1,edge,1709460731,39
SVRM,1,node,1709460734,15
SVRM,1,edge,1709460734,40
SVRM,1,node,1709460736,15
SVRM,1,edge,1709460736,40
SVRM,1,node,1709460737,15
SVRM,1,edge,1709460737,41
SVRM,1,node,1709460741,15
SVRM,1,edge,1709460741,41
SVRM,1,node,1709460743,15
SVRM,1,edge,1709460743,41
