seed_type,scov_type,time,scov
SVRM,edge,0,0.0
SVRM,edge,1,1.0
SVRM,edge,1001,2.8
SVRM,edge,2001,3.0
SVRM,edge,3001,3.0
SVRM,edge,4001,3.0
SVRM,edge,5001,3.0
SVRM,edge,6001,3.0
SVRM,edge,7001,3.0
SVRM,edge,8001,3.0
SVRM,edge,9001,3.0
SVRM,edge,10001,3.0
SVRM,edge,11001,3.0
SVRM,edge,12001,3.0
SVRM,edge,13001,3.0
SVRM,edge,14001,3.0
SVRM,edge,15001,3.0
SVRM,edge,16001,3.0
SVRM,edge,17001,3.0
SVRM,edge,18001,3.0
SVRM,edge,19001,3.0
SVRM,edge,20001,3.0
SVRM,edge,21001,3.0
SVRM,edge,22001,3.0
SVRM,edge,23001,3.0
SVRM,edge,24001,3.0
SVRM,edge,25001,3.0
SVRM,edge,26001,3.0
SVRM,edge,27001,3.0
SVRM,edge,28001,3.0
SVRM,edge,29001,3.0
SVRM,edge,30001,3.0
SVRM,edge,31001,3.0
SVRM,edge,32001,3.0
SVRM,edge,33001,3.0
SVRM,edge,34001,3.0
SVRM,edge,35001,3.0
SVRM,edge,36001,3.0
SVRM,edge,37001,3.0
SVRM,edge,38001,3.0
SVRM,edge,39001,3.0
SVRM,edge,40001,3.0
SVRM,edge,41001,3.0
SVRM,edge,42001,3.0
SVRM,edge,43001,3.0
SVRM,node,0,0.0
SVRM,node,1,2.0
SVRM,node,1001,3.8
SVRM,node,2001,4.0
SVRM,node,3001,4.0
SVRM,node,4001,4.0
SVRM,node,5001,4.0
SVRM,node,6001,4.0
SVRM,node,7001,4.0
SVRM,node,8001,4.0
SVRM,node,9001,4.0
SVRM,node,10001,4.0
SVRM,node,11001,4.0
SVRM,node,12001,4.0
SVRM,node,13001,4.0
SVRM,node,14001,4.0
SVRM,node,15001,4.0
SVRM,node,16001,4.0
SVRM,node,17001,4.0
SVRM,node,18001,4.0
SVRM,node,19001,4.0
SVRM,node,20001,4.0
SVRM,node,21001,4.0
SVRM,node,22001,4.0
SVRM,node,23001,4.0
SVRM,node,24001,4.0
SVRM,node,25001,4.0
SVRM,node,26001,4.0
SVRM,node,27001,4.0
SVRM,node,28001,4.0
SVRM,node,29001,4.0
SVRM,node,30001,4.0
SVRM,node,31001,4.0
