seed_type,run,scov_type,time,scov
Manual,3,l_abs,1708582373,0
Manual,3,l_abs,1708582373,0
Manual,3,l_abs,1708582376,0
Manual,3,l_abs,1708582377,0
Manual,3,l_abs,1708582381,3056
Manual,3,l_abs,1708582386,3167
Manual,3,l_abs,1708582389,3378
Manual,3,l_abs,1708582392,3413
Manual,3,l_abs,1708582395,3435
Manual,3,l_abs,1708582398,3459
Manual,3,l_abs,1708582403,3459
Manual,3,l_abs,1708582407,3459
Manual,3,l_abs,1708582410,3461
Manual,3,l_abs,1708582419,3500
Manual,3,l_abs,1708582428,3500
Manual,3,l_abs,1708582437,3501
Manual,3,l_abs,1708582443,3502
Manual,3,l_abs,1708582453,3502
Manual,3,l_abs,1708582459,3531
Manual,3,l_abs,1708582464,3532
Manual,3,l_abs,1708582470,3756
Manual,3,l_abs,1708582477,3782
Manual,3,l_abs,1708582484,3785
Manual,3,l_abs,1708582494,3785
Manual,3,l_abs,1708582509,3785
Manual,3,l_abs,1708582518,3785
Manual,3,l_abs,1708582528,3785
Manual,3,l_abs,1708582540,3785
Manual,3,l_abs,1708582551,3785
Manual,3,l_abs,1708582567,3785
Manual,3,l_abs,1708582573,3785
Manual,3,l_abs,1708582580,3785
Manual,3,l_abs,1708582589,3785
Manual,3,l_abs,1708582595,3785
Manual,3,l_abs,1708582611,3785
Manual,3,l_abs,1708582628,3785
Manual,3,l_abs,1708582647,3785
Manual,3,l_abs,1708582665,3785
Manual,3,l_abs,1708582692,3785
Manual,3,l_abs,1708582728,3785
Manual,3,l_abs,1708582772,3790
Manual,3,l_abs,1708582788,3790
Manual,3,l_abs,1708582816,3790
Manual,3,l_abs,1708582872,4008
Manual,3,l_abs,1708582892,4009
Manual,3,l_abs,1708582944,4010
Manual,3,l_abs,1708582978,4010
Manual,3,l_abs,1708583031,4010
Manual,3,l_abs,1708583078,4010
Manual,3,l_abs,1708583081,4010
Manual,3,l_abs,1708583087,4010
Manual,3,l_abs,1708583091,4010
Manual,3,l_abs,1708583094,4011
Manual,3,l_abs,1708583099,4011
Manual,3,l_abs,1708583107,4011
Manual,3,l_abs,1708583113,4011
Manual,3,l_abs,1708583117,4011
Manual,3,l_abs,1708583124,4011
Manual,3,l_abs,1708583130,4011
Manual,3,l_abs,1708583136,4011
Manual,3,l_abs,1708583153,4011
Manual,3,l_abs,1708583169,4011
Manual,3,l_abs,1708583178,4011
Manual,3,l_abs,1708583194,4011
Manual,3,l_abs,1708583204,4011
Manual,3,l_abs,1708583226,4011
Manual,3,l_abs,1708583258,4011
Manual,3,l_abs,1708583325,4012
Manual,3,l_abs,1708583380,4033
Manual,3,l_abs,1708583451,4033
Manual,3,l_abs,1708583530,4033
Manual,3,l_abs,1708583640,4033
Manual,3,l_abs,1708583721,4035
Manual,3,l_abs,1708583869,4035
Manual,3,l_abs,1708583925,4047
Manual,3,l_abs,1708584017,4047
Manual,3,l_abs,1708584254,4064
Manual,3,l_abs,1708584282,4064
Manual,3,l_abs,1708584420,4064
Manual,3,l_abs,1708584576,4064
Manual,3,l_abs,1708584771,4064
Manual,3,l_abs,1708584784,4064
Manual,3,l_abs,1708584803,4064
Manual,3,l_abs,1708585153,4064
Manual,3,l_abs,1708585187,4064
Manual,3,l_abs,1708585473,4064
Manual,3,l_abs,1708585592,4064
Manual,3,l_abs,1708585678,4064
Manual,3,l_abs,1708585701,4064
Manual,3,l_abs,1708585712,4064
Manual,3,l_abs,1708585721,4064
Manual,3,l_abs,1708585751,4064
Manual,3,l_abs,1708585910,4064
Manual,3,l_abs,1708585922,4064
Manual,3,l_abs,1708585934,4064
Manual,3,l_abs,1708586067,4064
Manual,3,l_abs,1708586171,4065
Manual,3,l_abs,1708586312,4065
Manual,3,l_abs,1708586428,4065
Manual,3,l_abs,1708586688,4068
Manual,3,l_abs,1708586855,4068
Manual,3,l_abs,1708587061,4105
Manual,3,l_abs,1708587595,4105
Manual,3,l_abs,1708587703,4108
Manual,3,l_abs,1708587891,4108
Manual,3,l_abs,1708587944,4108
Manual,3,l_abs,1708588011,4108
Manual,3,l_abs,1708588248,4108
Manual,3,l_abs,1708588286,4108
Manual,3,l_abs,1708588422,4108
Manual,3,l_abs,1708588619,4108
Manual,3,l_abs,1708588650,4108
Manual,3,l_abs,1708588975,4108
Manual,3,l_abs,1708589129,4108
Manual,3,l_abs,1708589244,4108
Manual,3,l_abs,1708589615,4108
Manual,3,l_abs,1708589852,4108
Manual,3,l_abs,1708590328,4108
Manual,3,l_abs,1708591122,4108
Manual,3,l_abs,1708591625,4108
Manual,3,l_abs,1708591735,4109
Manual,3,l_abs,1708592106,4109
Manual,3,l_abs,1708592655,4109
Manual,3,l_abs,1708592826,4109
Manual,3,l_abs,1708593083,4109
Manual,3,l_abs,1708593490,4111
Manual,3,l_abs,1708594007,4111
Manual,3,l_abs,1708595092,4111
Manual,3,l_abs,1708595341,4111
Manual,3,l_abs,1708595631,4111
Manual,3,l_abs,1708597003,4111
Manual,3,l_abs,1708597525,4111
Manual,3,l_abs,1708597790,4112
Manual,3,l_abs,1708598467,4112
Manual,3,l_abs,1708598473,4122
Manual,3,l_abs,1708598480,4123
Manual,3,l_abs,1708598522,4123
Manual,3,l_abs,1708598833,4123
Manual,3,l_abs,1708600161,4123
Manual,3,l_abs,1708600471,4123
Manual,3,l_abs,1708600820,4123
Manual,3,l_abs,1708601522,4123
Manual,3,l_abs,1708601708,4123
Manual,3,l_abs,1708602299,4123
Manual,3,l_abs,1708603256,4123
Manual,3,l_abs,1708604670,4123
Manual,3,l_abs,1708605285,4123
Manual,3,l_abs,1708606452,4123
Manual,3,l_abs,1708607218,4123
Manual,3,l_abs,1708608842,4123
Manual,3,l_abs,1708611041,4123
Manual,3,l_abs,1708611304,4123
Manual,3,l_abs,1708611892,4123
Manual,3,l_abs,1708612533,4123
Manual,3,l_abs,1708612556,4123
Manual,3,l_abs,1708612581,4123
Manual,3,l_abs,1708612863,4123
Manual,3,l_abs,1708613289,4123
Manual,3,l_abs,1708614281,4123
Manual,3,l_abs,1708615941,4123
Manual,3,l_abs,1708616397,4123
Manual,3,l_abs,1708617523,4124
Manual,3,l_abs,1708619123,4124
Manual,3,l_abs,1708620657,4124
Manual,3,l_abs,1708622633,4124
Manual,3,l_abs,1708624158,4124
Manual,3,l_abs,1708625168,4124
Manual,3,l_abs,1708627160,4124
Manual,3,l_abs,1708627555,4124
Manual,3,l_abs,1708629580,4124
Manual,3,l_abs,1708632751,4124
Manual,3,l_abs,1708633062,4124
Manual,3,l_abs,1708634125,4124
Manual,3,l_abs,1708636092,4124
Manual,3,l_abs,1708638368,4124
Manual,3,l_abs,1708640457,4125
Manual,3,l_abs,1708641081,4125
Manual,3,l_abs,1708641823,4125
Manual,3,l_abs,1708643658,4125
Manual,3,l_abs,1708646798,4125
Manual,3,l_abs,1708649604,4125
Manual,3,l_abs,1708651866,4125
Manual,3,l_abs,1708652556,4125
Manual,3,l_abs,1708653471,4125
Manual,3,l_abs,1708655353,4125
Manual,3,l_abs,1708658267,4125
Manual,3,l_abs,1708660691,4125
Manual,3,l_abs,1708660749,4125
Manual,3,l_abs,1708662357,4125
Manual,3,l_abs,1708662377,4125
Manual,3,l_abs,1708663308,4125
Manual,3,l_abs,1708665215,4125
Manual,3,l_abs,1708667612,4125
Manual,3,l_abs,1708668635,4125
Manual,3,b_abs,1708582373,0
Manual,3,b_abs,1708582373,0
Manual,3,b_abs,1708582376,0
Manual,3,b_abs,1708582377,0
Manual,3,b_abs,1708582381,2122
Manual,3,b_abs,1708582386,2247
Manual,3,b_abs,1708582389,2390
Manual,3,b_abs,1708582392,2425
Manual,3,b_abs,1708582395,2469
Manual,3,b_abs,1708582398,2497
Manual,3,b_abs,1708582403,2499
Manual,3,b_abs,1708582407,2499
Manual,3,b_abs,1708582410,2507
Manual,3,b_abs,1708582419,2523
Manual,3,b_abs,1708582428,2523
Manual,3,b_abs,1708582437,2532
Manual,3,b_abs,1708582443,2534
Manual,3,b_abs,1708582453,2534
Manual,3,b_abs,1708582459,2557
Manual,3,b_abs,1708582464,2563
Manual,3,b_abs,1708582470,2744
Manual,3,b_abs,1708582477,2764
Manual,3,b_abs,1708582484,2769
Manual,3,b_abs,1708582494,2769
Manual,3,b_abs,1708582509,2769
Manual,3,b_abs,1708582518,2769
Manual,3,b_abs,1708582528,2769
Manual,3,b_abs,1708582540,2769
Manual,3,b_abs,1708582551,2769
Manual,3,b_abs,1708582567,2769
Manual,3,b_abs,1708582573,2769
Manual,3,b_abs,1708582580,2769
Manual,3,b_abs,1708582589,2769
Manual,3,b_abs,1708582595,2769
Manual,3,b_abs,1708582611,2769
Manual,3,b_abs,1708582628,2769
Manual,3,b_abs,1708582647,2769
Manual,3,b_abs,1708582665,2769
Manual,3,b_abs,1708582692,2769
Manual,3,b_abs,1708582728,2769
Manual,3,b_abs,1708582772,2777
Manual,3,b_abs,1708582788,2777
Manual,3,b_abs,1708582816,2777
Manual,3,b_abs,1708582872,2926
Manual,3,b_abs,1708582892,2927
Manual,3,b_abs,1708582944,2929
Manual,3,b_abs,1708582978,2929
Manual,3,b_abs,1708583031,2929
Manual,3,b_abs,1708583078,2929
Manual,3,b_abs,1708583081,2929
Manual,3,b_abs,1708583087,2929
Manual,3,b_abs,1708583091,2929
Manual,3,b_abs,1708583094,2932
Manual,3,b_abs,1708583099,2932
Manual,3,b_abs,1708583107,2932
Manual,3,b_abs,1708583113,2932
Manual,3,b_abs,1708583117,2932
Manual,3,b_abs,1708583124,2932
Manual,3,b_abs,1708583130,2932
Manual,3,b_abs,1708583136,2932
Manual,3,b_abs,1708583153,2932
Manual,3,b_abs,1708583169,2932
Manual,3,b_abs,1708583178,2932
Manual,3,b_abs,1708583194,2932
Manual,3,b_abs,1708583204,2932
Manual,3,b_abs,1708583226,2932
Manual,3,b_abs,1708583258,2932
Manual,3,b_abs,1708583325,2936
Manual,3,b_abs,1708583380,2949
Manual,3,b_abs,1708583451,2949
Manual,3,b_abs,1708583530,2949
Manual,3,b_abs,1708583640,2949
Manual,3,b_abs,1708583721,2955
Manual,3,b_abs,1708583869,2955
Manual,3,b_abs,1708583925,2961
Manual,3,b_abs,1708584017,2961
Manual,3,b_abs,1708584254,2970
Manual,3,b_abs,1708584282,2970
Manual,3,b_abs,1708584420,2970
Manual,3,b_abs,1708584576,2970
Manual,3,b_abs,1708584771,2970
Manual,3,b_abs,1708584784,2970
Manual,3,b_abs,1708584803,2970
Manual,3,b_abs,1708585153,2970
Manual,3,b_abs,1708585187,2970
Manual,3,b_abs,1708585473,2970
Manual,3,b_abs,1708585592,2970
Manual,3,b_abs,1708585678,2970
Manual,3,b_abs,1708585701,2970
Manual,3,b_abs,1708585712,2970
Manual,3,b_abs,1708585721,2970
Manual,3,b_abs,1708585751,2970
Manual,3,b_abs,1708585910,2970
Manual,3,b_abs,1708585922,2970
Manual,3,b_abs,1708585934,2970
Manual,3,b_abs,1708586067,2970
Manual,3,b_abs,1708586171,2971
Manual,3,b_abs,1708586312,2971
Manual,3,b_abs,1708586428,2971
Manual,3,b_abs,1708586688,2972
Manual,3,b_abs,1708586855,2972
Manual,3,b_abs,1708587061,3005
Manual,3,b_abs,1708587595,3005
Manual,3,b_abs,1708587703,3008
Manual,3,b_abs,1708587891,3008
Manual,3,b_abs,1708587944,3008
Manual,3,b_abs,1708588011,3008
Manual,3,b_abs,1708588248,3008
Manual,3,b_abs,1708588286,3008
Manual,3,b_abs,1708588422,3008
Manual,3,b_abs,1708588619,3008
Manual,3,b_abs,1708588650,3008
Manual,3,b_abs,1708588975,3008
Manual,3,b_abs,1708589129,3008
Manual,3,b_abs,1708589244,3008
Manual,3,b_abs,1708589615,3008
Manual,3,b_abs,1708589852,3008
Manual,3,b_abs,1708590328,3008
Manual,3,b_abs,1708591122,3009
Manual,3,b_abs,1708591625,3009
Manual,3,b_abs,1708591735,3010
Manual,3,b_abs,1708592106,3010
Manual,3,b_abs,1708592655,3010
Manual,3,b_abs,1708592826,3010
Manual,3,b_abs,1708593083,3010
Manual,3,b_abs,1708593490,3015
Manual,3,b_abs,1708594007,3015
Manual,3,b_abs,1708595092,3015
Manual,3,b_abs,1708595341,3015
Manual,3,b_abs,1708595631,3015
Manual,3,b_abs,1708597003,3015
Manual,3,b_abs,1708597525,3015
Manual,3,b_abs,1708597790,3018
Manual,3,b_abs,1708598467,3018
Manual,3,b_abs,1708598473,3028
Manual,3,b_abs,1708598480,3029
Manual,3,b_abs,1708598522,3029
Manual,3,b_abs,1708598833,3029
Manual,3,b_abs,1708600161,3029
Manual,3,b_abs,1708600471,3029
Manual,3,b_abs,1708600820,3029
Manual,3,b_abs,1708601522,3029
Manual,3,b_abs,1708601708,3029
Manual,3,b_abs,1708602299,3029
Manual,3,b_abs,1708603256,3029
Manual,3,b_abs,1708604670,3029
Manual,3,b_abs,1708605285,3029
Manual,3,b_abs,1708606452,3029
Manual,3,b_abs,1708607218,3029
Manual,3,b_abs,1708608842,3029
Manual,3,b_abs,1708611041,3029
Manual,3,b_abs,1708611304,3029
Manual,3,b_abs,1708611892,3029
Manual,3,b_abs,1708612533,3029
Manual,3,b_abs,1708612556,3029
Manual,3,b_abs,1708612581,3029
Manual,3,b_abs,1708612863,3029
Manual,3,b_abs,1708613289,3029
Manual,3,b_abs,1708614281,3029
Manual,3,b_abs,1708615941,3029
Manual,3,b_abs,1708616397,3029
Manual,3,b_abs,1708617523,3030
Manual,3,b_abs,1708619123,3030
Manual,3,b_abs,1708620657,3030
Manual,3,b_abs,1708622633,3030
Manual,3,b_abs,1708624158,3030
Manual,3,b_abs,1708625168,3030
Manual,3,b_abs,1708627160,3030
Manual,3,b_abs,1708627555,3030
Manual,3,b_abs,1708629580,3030
Manual,3,b_abs,1708632751,3030
Manual,3,b_abs,1708633062,3030
Manual,3,b_abs,1708634125,3030
Manual,3,b_abs,1708636092,3030
Manual,3,b_abs,1708638368,3030
Manual,3,b_abs,1708640457,3031
Manual,3,b_abs,1708641081,3031
Manual,3,b_abs,1708641823,3031
Manual,3,b_abs,1708643658,3031
Manual,3,b_abs,1708646798,3031
Manual,3,b_abs,1708649604,3031
Manual,3,b_abs,1708651866,3031
Manual,3,b_abs,1708652556,3031
Manual,3,b_abs,1708653471,3031
Manual,3,b_abs,1708655353,3031
Manual,3,b_abs,1708658267,3031
Manual,3,b_abs,1708660691,3031
Manual,3,b_abs,1708660749,3031
Manual,3,b_abs,1708662357,3031
Manual,3,b_abs,1708662377,3031
Manual,3,b_abs,1708663308,3031
Manual,3,b_abs,1708665215,3031
Manual,3,b_abs,1708667612,3031
Manual,3,b_abs,1708668635,3031
