seed_type,run,scov_type,time,scov
Manual,5,node,1708582376,2
Manual,5,edge,1708582376,1
Manual,5,node,1708582387,3
Manual,5,edge,1708582387,2
Manual,5,node,1708582399,4
Manual,5,edge,1708582399,3
Manual,4,node,1708582374,2
Manual,4,edge,1708582374,1
Manual,4,node,1708582397,3
Manual,4,edge,1708582397,2
Manual,4,node,1708582479,4
Manual,4,edge,1708582479,3
SVRM,5,node,1708582431,2
SVRM,5,edge,1708582431,1
SVRM,5,node,1708582544,3
SVRM,5,edge,1708582544,2
SVRM,5,node,1708583442,4
SVRM,5,edge,1708583442,3
Manual,1,node,1708582336,2
Manual,1,edge,1708582336,1
Manual,1,node,1708582378,3
Manual,1,edge,1708582378,2
Manual,1,node,1708582827,4
Manual,1,edge,1708582827,3
Manual,2,node,1708582371,2
Manual,2,edge,1708582371,1
Manual,2,node,1708582377,3
Manual,2,edge,1708582377,2
Manual,2,node,1708582387,4
Manual,2,edge,1708582387,3
SVRM,2,node,1708582424,2
SVRM,2,edge,1708582424,1
SVRM,2,node,1708582544,3
SVRM,2,edge,1708582544,2
SVRM,2,node,1708583390,4
SVRM,2,edge,1708583390,3
SVRM,1,node,1708582424,2
SVRM,1,edge,1708582424,1
SVRM,1,node,1708582537,3
SVRM,1,edge,1708582537,2
SVRM,1,node,1708583396,4
SVRM,1,edge,1708583396,3
SVRM,4,node,1708582429,2
SVRM,4,edge,1708582429,1
SVRM,4,node,1708582546,3
SVRM,4,edge,1708582546,2
SVRM,4,node,1708583387,4
SVRM,4,edge,1708583387,3
Manual,3,node,1708582373,2
Manual,3,edge,1708582373,1
Manual,3,node,1708582394,3
Manual,3,edge,1708582394,2
Manual,3,node,1708582438,4
Manual,3,edge,1708582438,3
SVRM,3,node,1708582428,2
SVRM,3,edge,1708582428,1
SVRM,3,node,1708582544,3
SVRM,3,edge,1708582544,2
SVRM,3,node,1708583384,4
SVRM,3,edge,1708583384,3
SVRM,3,l_abs,1708582428,0
SVRM,3,l_abs,1708582429,0
SVRM,3,l_abs,1708582429,0
SVRM,3,l_abs,1708582432,0
SVRM,3,l_abs,1708582433,0
SVRM,3,l_abs,1708582436,0
SVRM,3,l_abs,1708582439,0
SVRM,3,l_abs,1708582442,0
SVRM,3,l_abs,1708582443,0
SVRM,3,l_abs,1708582446,0
SVRM,3,l_abs,1708582447,0
SVRM,3,l_abs,1708582449,0
SVRM,3,l_abs,1708582450,0
SVRM,3,l_abs,1708582450,0
SVRM,3,l_abs,1708582451,0
SVRM,3,l_abs,1708582452,0
SVRM,3,l_abs,1708582452,0
SVRM,3,l_abs,1708582453,0
SVRM,3,l_abs,1708582455,0
SVRM,3,l_abs,1708582456,0
SVRM,3,l_abs,1708582456,0
SVRM,3,l_abs,1708582457,0
SVRM,3,l_abs,1708582458,0
SVRM,3,l_abs,1708582458,0
SVRM,3,l_abs,1708582459,0
SVRM,3,l_abs,1708582461,0
SVRM,3,l_abs,1708582462,0
SVRM,3,l_abs,1708582463,0
SVRM,3,l_abs,1708582463,0
SVRM,3,l_abs,1708582464,0
SVRM,3,l_abs,1708582464,0
SVRM,3,l_abs,1708582465,0
SVRM,3,l_abs,1708582466,0
SVRM,3,l_abs,1708582466,0
SVRM,3,l_abs,1708582467,0
SVRM,3,l_abs,1708582467,0
SVRM,3,l_abs,1708582468,0
SVRM,3,l_abs,1708582469,0
SVRM,3,l_abs,1708582469,0
SVRM,3,l_abs,1708582470,0
SVRM,3,l_abs,1708582470,0
SVRM,3,l_abs,1708582471,0
SVRM,3,l_abs,1708582471,0
SVRM,3,l_abs,1708582472,0
SVRM,3,l_abs,1708582472,0
SVRM,3,l_abs,1708582473,0
SVRM,3,l_abs,1708582473,0
SVRM,3,l_abs,1708582474,0
SVRM,3,l_abs,1708582475,0
SVRM,3,l_abs,1708582475,0
SVRM,3,l_abs,1708582476,0
SVRM,3,l_abs,1708582476,0
SVRM,3,l_abs,1708582477,0
SVRM,3,l_abs,1708582478,0
SVRM,3,l_abs,1708582478,0
SVRM,3,l_abs,1708582479,0
SVRM,3,l_abs,1708582479,0
SVRM,3,l_abs,1708582480,0
SVRM,3,l_abs,1708582480,0
SVRM,3,l_abs,1708582483,3019
SVRM,3,l_abs,1708582483,3019
SVRM,3,l_abs,1708582484,3019
SVRM,3,l_abs,1708582484,3019
SVRM,3,l_abs,1708582485,3019
SVRM,3,l_abs,1708582485,3019
SVRM,3,l_abs,1708582486,3019
SVRM,3,l_abs,1708582486,3019
SVRM,3,l_abs,1708582487,3019
SVRM,3,l_abs,1708582487,3019
SVRM,3,l_abs,1708582488,3019
