seed_type,scov_type,time,scov
SVRM,edge,0,0.0
SVRM,edge,1,7.0
SVRM,edge,1001,28.0
SVRM,edge,2001,31.2
SVRM,edge,3001,43.0
SVRM,edge,4001,58.8
SVRM,edge,5001,61.4
SVRM,edge,6001,61.6
SVRM,edge,7001,62.8
SVRM,edge,8001,65.2
SVRM,edge,9001,69.0
SVRM,edge,10001,69.8
SVRM,edge,11001,70.8
SVRM,edge,12001,72.8
SVRM,edge,13001,73.6
SVRM,edge,14001,74.2
SVRM,edge,15001,74.6
SVRM,edge,16001,75.0
SVRM,edge,17001,75.6
SVRM,edge,18001,76.0
SVRM,edge,19001,76.0
SVRM,edge,20001,76.0
SVRM,edge,21001,76.0
SVRM,edge,22001,76.2
SVRM,edge,23001,76.4
SVRM,edge,24001,76.6
SVRM,edge,25001,76.6
SVRM,edge,26001,76.6
SVRM,edge,27001,76.6
SVRM,edge,28001,76.6
SVRM,edge,29001,76.8
SVRM,edge,30001,77.0
SVRM,edge,31001,77.0
SVRM,edge,32001,77.0
SVRM,edge,33001,77.2
SVRM,edge,34001,77.2
SVRM,edge,35001,77.2
SVRM,edge,36001,77.2
SVRM,edge,37001,77.2
SVRM,edge,38001,77.2
SVRM,edge,39001,77.4
SVRM,edge,40001,77.4
SVRM,edge,41001,77.4
SVRM,edge,42001,77.4
SVRM,edge,43001,77.8
SVRM,node,0,0.0
SVRM,node,1,5.0
SVRM,node,1001,11.0
SVRM,node,2001,11.0
SVRM,node,3001,13.0
SVRM,node,4001,14.2
SVRM,node,5001,14.6
SVRM,node,6001,14.6
SVRM,node,7001,15.4
SVRM,node,8001,15.8
SVRM,node,9001,16.8
SVRM,node,10001,16.8
SVRM,node,11001,16.8
SVRM,node,12001,17.0
SVRM,node,13001,17.0
SVRM,node,14001,17.0
SVRM,node,15001,17.0
SVRM,node,16001,17.0
SVRM,node,17001,17.0
SVRM,node,18001,17.0
SVRM,node,19001,17.0
SVRM,node,20001,17.0
SVRM,node,21001,17.0
SVRM,node,22001,17.0
SVRM,node,23001,17.0
SVRM,node,24001,17.0
SVRM,node,25001,17.0
SVRM,node,26001,17.0
SVRM,node,27001,17.0
SVRM,node,28001,17.0
SVRM,node,29001,17.0
SVRM,node,30001,17.0
SVRM,node,31001,17.0
SVRM,node,32001,17.0
SVRM,node,33001,17.0
SVRM,node,34001,17.0
SVRM,node,35001,17.0
SVRM,node,36001,17.0
SVRM,node,37001,17.0
SVRM,node,38001,17.0
