seed_type,run,scov_type,time,scov
Manual,5,node,1709258860,6
Manual,5,edge,1709258860,6
Manual,5,node,1709258881,7
Manual,5,edge,1709258881,10
Manual,5,node,1709258886,9
Manual,5,edge,1709258886,14
Manual,5,node,1709258891,10
Manual,5,edge,1709258891,16
Manual,5,node,1709258903,10
Manual,5,edge,1709258903,18
Manual,5,node,1709258915,10
Manual,5,edge,1709258915,21
Manual,5,node,1709258986,10
Manual,5,edge,1709258986,22
Manual,5,node,1709259040,10
Manual,5,edge,1709259040,23
Manual,5,node,1709259069,11
Manual,5,edge,1709259069,24
Manual,5,node,1709259074,11
Manual,5,edge,1709259074,24
Manual,5,node,1709259168,11
Manual,5,edge,1709259168,24
Manual,5,node,1709259174,11
Manual,5,edge,1709259174,25
Manual,5,node,1709259194,11
Manual,5,edge,1709259194,26
Manual,5,node,1709259212,11
Manual,5,edge,1709259212,26
Manual,5,node,1709259230,11
Manual,5,edge,1709259230,26
Manual,5,node,1709259432,11
Manual,5,edge,1709259432,26
Manual,5,node,1709259477,11
Manual,5,edge,1709259477,26
Manual,5,node,1709259499,11
Manual,5,edge,1709259499,28
Manual,5,node,1709259606,11
Manual,5,edge,1709259606,28
Manual,5,node,1709259721,11
Manual,5,edge,1709259721,29
Manual,5,node,1709259735,11
Manual,5,edge,1709259735,30
Manual,5,node,1709259740,11
Manual,5,edge,1709259740,30
Manual,5,node,1709259753,11
Manual,5,edge,1709259753,30
Manual,5,node,1709259821,11
Manual,5,edge,1709259821,31
Manual,5,node,1709259856,11
Manual,5,edge,1709259856,32
Manual,5,node,1709259888,11
Manual,5,edge,1709259888,32
Manual,5,node,1709259890,11
Manual,5,edge,1709259890,33
Manual,5,node,1709259893,11
Manual,5,edge,1709259893,33
Manual,5,node,1709259895,11
Manual,5,edge,1709259895,33
Manual,5,node,1709259898,11
Manual,5,edge,1709259898,34
Manual,5,node,1709259918,11
Manual,5,edge,1709259918,34
Manual,5,node,1709259967,11
Manual,5,edge,1709259967,35
Manual,5,node,1709259977,11
