seed_type,run,scov_type,time,scov
Manual,4,node,1709258861,5
Manual,4,edge,1709258861,6
Manual,4,node,1709258881,7
Manual,4,edge,1709258881,10
Manual,4,node,1709258887,8
Manual,4,edge,1709258887,15
Manual,4,node,1709258897,9
Manual,4,edge,1709258897,17
Manual,4,node,1709258901,9
Manual,4,edge,1709258901,18
Manual,4,node,1709258925,9
Manual,4,edge,1709258925,19
Manual,4,node,1709258931,10
Manual,4,edge,1709258931,20
Manual,4,node,1709258955,10
Manual,4,edge,1709258955,22
Manual,4,node,1709258974,10
Manual,4,edge,1709258974,23
Manual,4,node,1709259003,11
Manual,4,edge,1709259003,24
Manual,4,node,1709259127,11
Manual,4,edge,1709259127,25
Manual,4,node,1709259184,11
Manual,4,edge,1709259184,25
Manual,4,node,1709259228,11
Manual,4,edge,1709259228,26
Manual,4,node,1709259354,11
Manual,4,edge,1709259354,27
Manual,4,node,1709259467,11
Manual,4,edge,1709259467,27
Manual,4,node,1709259492,11
Manual,4,edge,1709259492,27
Manual,4,node,1709259596,11
Manual,4,edge,1709259596,28
Manual,4,node,1709259606,11
Manual,4,edge,1709259606,28
Manual,4,node,1709259631,11
Manual,4,edge,1709259631,28
Manual,4,node,1709259642,11
Manual,4,edge,1709259642,28
Manual,4,node,1709259644,11
Manual,4,edge,1709259644,29
Manual,4,node,1709259649,11
Manual,4,edge,1709259649,30
Manual,4,node,1709259657,11
Manual,4,edge,1709259657,30
Manual,4,node,1709259663,11
Manual,4,edge,1709259663,31
Manual,4,node,1709259675,11
Manual,4,edge,1709259675,31
Manual,4,node,1709259677,11
Manual,4,edge,1709259677,31
Manual,4,node,1709259682,11
Manual,4,edge,1709259682,31
Manual,4,node,1709259692,11
Manual,4,edge,1709259692,32
Manual,4,node,1709259698,11
Manual,4,edge,1709259698,32
Manual,4,node,1709259722,11
Manual,4,edge,1709259722,33
Manual,4,node,1709259738,11
Manual,4,edge,1709259738,34
Manual,4,node,1709259755,11
Manual,4,edge,1709259755,34
Manual,4,node,1709259832,11
Manual,4,edge,1709259832,35
Manual,4,node,1709259851,11
Manual,4,edge,1709259851,35
Manual,4,node,1709259886,11
Manual,4,edge,1709259886,35
Manual,4,node,1709259898,11
Manual,4,edge,1709259898,35
Manual,4,node,1709259913,11
Manual,4,edge,1709259913,36
Manual,4,node,1709259951,11
Manual,4,edge,1709259951,36
Manual,4,node,1709259973,11
Manual,4,edge,1709259973,37
Manual,4,node,1709259977,11
Manual,4,edge,1709259977,37
Manual,4,node,1709259979,11
Manual,4,edge,1709259979,37
Manual,4,node,1709259996,11
Manual,4,edge,1709259996,37
Manual,4,node,1709260002,11
Manual,4,edge,1709260002,37
Manual,4,node,1709260011,11
Manual,4,edge,1709260011,38
Manual,4,node,1709260014,11
Manual,4,edge,1709260014,38
Manual,4,node,1709260019,11
Manual,4,edge,1709260019,39
Manual,4,node,1709260025,11
Manual,4,edge,1709260025,39
Manual,4,node,1709260028,11
Manual,4,edge,1709260028,39
Manual,4,node,1709260031,11
Manual,4,edge,1709260031,39
Manual,4,node,1709260034,11
Manual,4,edge,1709260034,39
Manual,4,node,1709260039,11
Manual,4,edge,1709260039,39
Manual,4,node,1709260045,11
Manual,4,edge,1709260045,39
Manual,4,node,1709260066,11
Manual,4,edge,1709260066,40
Manual,4,node,1709260072,11
Manual,4,edge,1709260072,40
Manual,4,node,1709260077,11
Manual,4,edge,1709260077,40
Manual,4,node,1709260100,11
Manual,4,edge,1709260100,40
Manual,4,node,1709260114,11
Manual,4,edge,1709260114,40
Manual,4,node,1709260119,11
Manual,4,edge,1709260119,40
Manual,4,node,1709260122,11
Manual,4,edge,1709260122,40
Manual,4,node,1709260127,11
Manual,4,edge,1709260127,40
Manual,4,node,1709260138,11
Manual,4,edge,1709260138,40
Manual,4,node,1709260154,11
Manual,4,edge,1709260154,40
Manual,4,node,1709260161,11
Manual,4,edge,1709260161,40
Manual,4,node,1709260163,11
Manual,4,edge,1709260163,40
Manual,4,node,1709260333,11
Manual,4,edge,1709260333,40
Manual,4,node,1709260385,11
Manual,4,edge,1709260385,40
Manual,4,node,1709260399,11
Manual,4,edge,1709260399,40
Manual,4,node,1709260404,11
Manual,4,edge,1709260404,40
Manual,4,node,1709260413,11
Manual,4,edge,1709260413,40
Manual,4,node,1709260430,11
Manual,4,edge,1709260430,40
Manual,4,node,1709260469,11
Manual,4,edge,1709260469,40
Manual,4,node,1709260543,11
