seed_type,run,scov_type,time,scov
SVRM,3,node,1709258812,5
SVRM,3,edge,1709258812,7
SVRM,3,node,1709258814,6
SVRM,3,edge,1709258814,8
SVRM,3,node,1709258820,6
SVRM,3,edge,1709258820,8
SVRM,3,node,1709258821,7
SVRM,3,edge,1709258821,11
SVRM,3,node,1709258826,8
SVRM,3,edge,1709258826,13
SVRM,3,node,1709258829,8
SVRM,3,edge,1709258829,13
SVRM,3,node,1709258842,8
SVRM,3,edge,1709258842,13
SVRM,3,node,1709258849,8
SVRM,3,edge,1709258849,13
SVRM,3,node,1709258865,10
SVRM,3,edge,1709258865,15
SVRM,3,node,1709258883,10
SVRM,3,edge,1709258883,16
SVRM,3,node,1709258921,10
SVRM,3,edge,1709258921,16
SVRM,3,node,1709258951,10
SVRM,3,edge,1709258951,16
SVRM,3,node,1709258960,10
SVRM,3,edge,1709258960,16
SVRM,3,node,1709258962,10
SVRM,3,edge,1709258962,16
SVRM,3,node,1709258978,11
SVRM,3,edge,1709258978,18
SVRM,3,node,1709258984,11
SVRM,3,edge,1709258984,19
SVRM,3,node,1709259032,11
SVRM,3,edge,1709259032,19
SVRM,3,node,1709259069,11
SVRM,3,edge,1709259069,19
SVRM,3,node,1709259133,11
SVRM,3,edge,1709259133,19
SVRM,3,node,1709259140,11
SVRM,3,edge,1709259140,19
SVRM,3,node,1709259183,11
SVRM,3,edge,1709259183,20
SVRM,3,node,1709259185,11
SVRM,3,edge,1709259185,20
SVRM,3,node,1709259206,11
SVRM,3,edge,1709259206,21
SVRM,3,node,1709259230,11
SVRM,3,edge,1709259230,21
SVRM,3,node,1709259232,11
SVRM,3,edge,1709259232,22
SVRM,3,node,1709259244,11
SVRM,3,edge,1709259244,22
SVRM,3,node,1709259414,11
SVRM,3,edge,1709259414,22
SVRM,3,node,1709259442,11
SVRM,3,edge,1709259442,22
SVRM,3,node,1709259452,11
SVRM,3,edge,1709259452,22
SVRM,3,node,1709259489,11
SVRM,3,edge,1709259489,25
