seed_type,scov_type,time,scov
SVRM,edge,0,0.0
SVRM,edge,1,6.2
SVRM,edge,1001,90.8
SVRM,edge,2001,122.8
SVRM,edge,3001,128.0
SVRM,edge,4001,145.2
SVRM,edge,5001,161.0
SVRM,edge,6001,167.6
SVRM,edge,7001,171.6
SVRM,edge,8001,177.0
SVRM,edge,9001,183.6
SVRM,edge,10001,188.6
SVRM,edge,11001,194.6
SVRM,edge,12001,196.6
SVRM,edge,13001,198.2
SVRM,edge,14001,199.4
SVRM,edge,15001,201.2
SVRM,edge,16001,204.4
SVRM,edge,17001,209.4
SVRM,edge,18001,210.4
SVRM,edge,19001,210.4
SVRM,edge,20001,210.8
SVRM,edge,21001,211.6
SVRM,edge,22001,213.0
SVRM,edge,23001,215.4
SVRM,edge,24001,215.6
SVRM,edge,25001,216.0
SVRM,edge,26001,217.4
SVRM,edge,27001,219.2
SVRM,edge,28001,221.0
SVRM,edge,29001,222.0
SVRM,edge,30001,223.4
SVRM,edge,31001,223.8
SVRM,edge,32001,225.8
SVRM,edge,33001,227.2
SVRM,edge,34001,227.4
SVRM,edge,35001,227.8
SVRM,edge,36001,228.6
SVRM,edge,37001,229.4
SVRM,edge,38001,229.8
SVRM,edge,39001,230.4
SVRM,edge,40001,231.4
SVRM,edge,41001,232.2
SVRM,edge,42001,232.8
SVRM,edge,43001,234.6
SVRM,node,0,0.0
SVRM,node,1,5.2
SVRM,node,1001,20.0
SVRM,node,2001,22.8
SVRM,node,3001,22.8
SVRM,node,4001,23.4
SVRM,node,5001,23.6
SVRM,node,6001,23.6
SVRM,node,7001,23.6
SVRM,node,8001,23.6
SVRM,node,9001,24.0
SVRM,node,10001,24.2
SVRM,node,11001,24.6
SVRM,node,12001,25.0
SVRM,node,13001,25.4
SVRM,node,14001,25.4
SVRM,node,15001,25.4
SVRM,node,16001,25.4
SVRM,node,17001,25.4
SVRM,node,18001,25.4
SVRM,node,19001,25.4
SVRM,node,20001,25.4
SVRM,node,21001,25.4
SVRM,node,22001,26.0
SVRM,node,23001,26.0
SVRM,node,24001,26.0
SVRM,node,25001,26.0
SVRM,node,26001,26.0
SVRM,node,27001,26.0
SVRM,node,28001,26.0
SVRM,node,29001,26.0
SVRM,node,30001,26.0
SVRM,node,31001,26.0
SVRM,node,32001,26.0
SVRM,node,33001,26.0
SVRM,node,34001,26.0
SVRM,node,35001,26.0
SVRM,node,36001,26.0
SVRM,node,37001,26.0
SVRM,node,38001,26.0
SVRM,node,39001,26.0
SVRM,node,40001,26.0
SVRM,node,41001,26.0
SVRM,node,42001,26.0
SVRM,node,43001,26.0
SVRM,l_abs,0,0.0
SVRM,l_abs,1,351.2
SVRM,l_abs,1001,629.2
SVRM,l_abs,2001,684.6
SVRM,l_abs,3001,712.6
SVRM,l_abs,4001,730.8
SVRM,l_abs,5001,734.2
SVRM,l_abs,6001,746.6
SVRM,l_abs,7001,751.8
SVRM,l_abs,8001,757.4
SVRM,l_abs,9001,757.8
SVRM,l_abs,10001,759.4
SVRM,l_abs,11001,764.6
SVRM,l_abs,12001,765.0
SVRM,l_abs,13001,765.8
SVRM,l_abs,14001,766.4
SVRM,l_abs,15001,767.4
SVRM,l_abs,16001,768.0
SVRM,l_abs,17001,769.0
SVRM,l_abs,18001,769.0
SVRM,l_abs,19001,769.0
SVRM,l_abs,20001,769.0
SVRM,l_abs,21001,769.0
SVRM,l_abs,22001,769.0
SVRM,l_abs,23001,769.0
SVRM,l_abs,24001,769.0
SVRM,l_abs,25001,769.2
SVRM,l_abs,26001,770.2
SVRM,l_abs,27001,770.2
SVRM,l_abs,28001,770.2
SVRM,l_abs,29001,770.2
SVRM,l_abs,30001,770.4
SVRM,l_abs,31001,770.8
SVRM,l_abs,32001,770.8
SVRM,l_abs,33001,770.8
SVRM,l_abs,34001,771.8
SVRM,l_abs,35001,773.0
SVRM,l_abs,36001,773.0
SVRM,l_abs,37001,773.0
SVRM,l_abs,38001,774.0
SVRM,l_abs,39001,774.0
SVRM,l_abs,40001,774.4
SVRM,l_abs,41001,775.0
SVRM,l_abs,42001,775.0
SVRM,l_abs,43001,775.2
SVRM,b_abs,0,0.0
SVRM,b_abs,1,131.2
SVRM,b_abs,1001,284.8
SVRM,b_abs,2001,325.0
SVRM,b_abs,3001,343.4
SVRM,b_abs,4001,352.8
SVRM,b_abs,5001,355.6
SVRM,b_abs,6001,362.2
SVRM,b_abs,7001,365.4
SVRM,b_abs,8001,367.8
SVRM,b_abs,9001,368.2
SVRM,b_abs,10001,369.8
SVRM,b_abs,11001,371.6
SVRM,b_abs,12001,371.8
SVRM,b_abs,13001,372.2
SVRM,b_abs,14001,372.6
SVRM,b_abs,15001,373.2
SVRM,b_abs,16001,374.0
SVRM,b_abs,17001,374.6
SVRM,b_abs,18001,374.6
SVRM,b_abs,19001,374.6
SVRM,b_abs,20001,374.6
SVRM,b_abs,21001,374.6
