seed_type,run,scov_type,time,scov
Manual,4,l_abs,1709461929,283
Manual,4,l_abs,1709461930,289
Manual,4,l_abs,1709461930,302
Manual,4,l_abs,1709461930,305
Manual,4,l_abs,1709461931,308
Manual,4,l_abs,1709461931,311
Manual,4,l_abs,1709461932,318
Manual,4,l_abs,1709461932,320
Manual,4,l_abs,1709461932,323
Manual,4,l_abs,1709461933,325
Manual,4,l_abs,1709461933,329
Manual,4,l_abs,1709461934,331
Manual,4,l_abs,1709461934,335
Manual,4,l_abs,1709461934,338
Manual,4,l_abs,1709461935,338
Manual,4,l_abs,1709461935,341
Manual,4,l_abs,1709461936,344
Manual,4,l_abs,1709461936,347
Manual,4,l_abs,1709461937,350
Manual,4,l_abs,1709461937,354
Manual,4,l_abs,1709461937,357
Manual,4,l_abs,1709461940,360
Manual,4,l_abs,1709461941,363
Manual,4,l_abs,1709461941,363
Manual,4,l_abs,1709461941,373
Manual,4,l_abs,1709461942,499
Manual,4,l_abs,1709461943,520
Manual,4,l_abs,1709461931,520
Manual,4,l_abs,1709461933,520
Manual,4,l_abs,1709461935,520
Manual,4,l_abs,1709461937,520
Manual,4,l_abs,1709461941,520
Manual,4,l_abs,1709461948,520
Manual,4,l_abs,1709461952,525
Manual,4,l_abs,1709461955,528
Manual,4,l_abs,1709461960,529
Manual,4,l_abs,1709461966,531
Manual,4,l_abs,1709461973,531
Manual,4,l_abs,1709461985,532
Manual,4,l_abs,1709461996,533
Manual,4,l_abs,1709462007,533
Manual,4,l_abs,1709462019,533
Manual,4,l_abs,1709462035,534
Manual,4,l_abs,1709462057,534
Manual,4,l_abs,1709462091,536
Manual,4,l_abs,1709462122,536
Manual,4,l_abs,1709462178,536
Manual,4,l_abs,1709462194,544
Manual,4,l_abs,1709462200,567
Manual,4,l_abs,1709462212,605
Manual,4,l_abs,1709462223,607
Manual,4,l_abs,1709462230,619
Manual,4,l_abs,1709462241,626
Manual,4,l_abs,1709462253,629
Manual,4,l_abs,1709462264,630
