seed_type,run,scov_type,time,scov
Manual,5,node,1709461930,3
Manual,5,edge,1709461930,2
Manual,5,node,1709461931,4
Manual,5,edge,1709461931,4
Manual,5,node,1709461941,12
Manual,5,edge,1709461941,12
Manual,5,node,1709461942,12
Manual,5,edge,1709461942,14
Manual,5,node,1709461946,12
Manual,5,edge,1709461946,14
Manual,5,node,1709461947,13
Manual,5,edge,1709461947,16
Manual,5,node,1709461948,13
Manual,5,edge,1709461948,17
Manual,5,node,1709461953,13
Manual,5,edge,1709461953,17
Manual,5,node,1709461954,13
Manual,5,edge,1709461954,21
Manual,5,node,1709461955,13
Manual,5,edge,1709461955,24
Manual,5,node,1709461956,13
Manual,5,edge,1709461956,24
Manual,5,node,1709461957,13
Manual,5,edge,1709461957,24
Manual,5,node,1709461959,14
Manual,5,edge,1709461959,26
Manual,5,node,1709461962,14
Manual,5,edge,1709461962,29
Manual,5,node,1709461966,14
Manual,5,edge,1709461966,29
Manual,5,node,1709461968,14
Manual,5,edge,1709461968,29
Manual,5,node,1709461973,14
Manual,5,edge,1709461973,29
Manual,5,node,1709461976,15
Manual,5,edge,1709461976,32
Manual,5,node,1709461980,15
Manual,5,edge,1709461980,32
Manual,5,node,1709461982,15
Manual,5,edge,1709461982,34
Manual,5,node,1709461984,15
Manual,5,edge,1709461984,35
Manual,5,node,1709461988,16
Manual,5,edge,1709461988,37
Manual,5,node,1709461989,16
Manual,5,edge,1709461989,37
Manual,5,node,1709461990,16
Manual,5,edge,1709461990,37
Manual,5,node,1709461997,16
Manual,5,edge,1709461997,37
Manual,5,node,1709461998,17
Manual,5,edge,1709461998,38
Manual,5,node,1709462000,17
Manual,5,edge,1709462000,38
Manual,5,node,1709462002,17
Manual,5,edge,1709462002,39
Manual,5,node,1709462003,17
Manual,5,edge,1709462003,41
Manual,5,node,1709462005,17
Manual,5,edge,1709462005,42
Manual,5,node,1709462008,17
Manual,5,edge,1709462008,42
Manual,5,node,1709462010,17
Manual,5,edge,1709462010,42
Manual,5,node,1709462013,17
Manual,5,edge,1709462013,42
Manual,5,node,1709462026,17
Manual,5,edge,1709462026,42
Manual,5,node,1709462030,17
Manual,5,edge,1709462030,42
Manual,5,node,1709462033,17
Manual,5,edge,1709462033,42
Manual,5,node,1709462034,17
Manual,5,edge,1709462034,42
Manual,5,node,1709462040,17
Manual,5,edge,1709462040,44
Manual,5,node,1709462045,17
Manual,5,edge,1709462045,44
Manual,5,node,1709462049,17
Manual,5,edge,1709462049,44
Manual,5,node,1709462053,17
Manual,5,edge,1709462053,45
Manual,5,node,1709462060,17
Manual,5,edge,1709462060,45
Manual,5,node,1709462090,17
Manual,5,edge,1709462090,45
Manual,5,node,1709462096,17
Manual,5,edge,1709462096,47
Manual,5,node,1709462099,17
Manual,5,edge,1709462099,49
Manual,5,node,1709462109,17
Manual,5,edge,1709462109,49
Manual,5,node,1709462115,17
Manual,5,edge,1709462115,49
Manual,5,node,1709462122,17
Manual,5,edge,1709462122,50
Manual,5,node,1709462123,17
Manual,5,edge,1709462123,50
Manual,5,node,1709462131,17
Manual,5,edge,1709462131,50
Manual,5,node,1709462134,17
Manual,5,edge,1709462134,50
Manual,5,node,1709462157,17
Manual,5,edge,1709462157,50
Manual,5,node,1709462176,17
Manual,5,edge,1709462176,51
Manual,5,node,1709462220,17
Manual,5,edge,1709462220,52
Manual,5,node,1709462223,17
Manual,5,edge,1709462223,52
Manual,5,node,1709462224,18
Manual,5,edge,1709462224,54
Manual,5,node,1709462226,18
Manual,5,edge,1709462226,56
Manual,5,node,1709462229,18
Manual,5,edge,1709462229,56
Manual,5,node,1709462230,18
Manual,5,edge,1709462230,57
Manual,5,node,1709462232,19
Manual,5,edge,1709462232,59
Manual,5,node,1709462234,19
Manual,5,edge,1709462234,61
Manual,5,node,1709462235,19
Manual,5,edge,1709462235,61
Manual,5,node,1709462238,19
Manual,5,edge,1709462238,61
Manual,5,node,1709462244,20
Manual,5,edge,1709462244,63
Manual,5,node,1709462245,20
Manual,5,edge,1709462245,63
Manual,5,node,1709462248,20
Manual,5,edge,1709462248,63
Manual,5,node,1709462250,20
Manual,5,edge,1709462250,64
Manual,5,node,1709462253,20
Manual,5,edge,1709462253,65
Manual,5,node,1709462255,20
Manual,5,edge,1709462255,66
Manual,5,node,1709462257,20
Manual,5,edge,1709462257,66
Manual,5,node,1709462258,20
Manual,5,edge,1709462258,68
Manual,5,node,1709462259,20
Manual,5,edge,1709462259,68
Manual,5,node,1709462261,21
Manual,5,edge,1709462261,71
Manual,5,node,1709462264,21
Manual,5,edge,1709462264,72
Manual,5,node,1709462268,21
Manual,5,edge,1709462268,75
Manual,5,node,1709462270,21
Manual,5,edge,1709462270,75
Manual,5,node,1709462272,21
Manual,5,edge,1709462272,77
Manual,5,node,1709462274,21
Manual,5,edge,1709462274,79
Manual,5,node,1709462279,21
Manual,5,edge,1709462279,79
Manual,5,node,1709462283,21
Manual,5,edge,1709462283,79
Manual,5,node,1709462286,22
Manual,5,edge,1709462286,82
Manual,5,node,1709462288,22
Manual,5,edge,1709462288,82
Manual,5,node,1709462293,22
Manual,5,edge,1709462293,82
Manual,5,node,1709462296,22
Manual,5,edge,1709462296,83
Manual,5,node,1709462297,22
Manual,5,edge,1709462297,84
Manual,5,node,1709462299,22
Manual,5,edge,1709462299,85
Manual,5,node,1709462305,22
Manual,5,edge,1709462305,85
Manual,5,node,1709462308,22
Manual,5,edge,1709462308,86
Manual,5,node,1709462310,22
Manual,5,edge,1709462310,87
Manual,5,node,1709462311,22
Manual,5,edge,1709462311,90
Manual,5,node,1709462324,22
Manual,5,edge,1709462324,91
Manual,5,node,1709462330,22
Manual,5,edge,1709462330,91
Manual,5,node,1709462335,22
Manual,5,edge,1709462335,92
Manual,5,node,1709462337,22
Manual,5,edge,1709462337,92
Manual,5,node,1709462338,22
Manual,5,edge,1709462338,94
Manual,5,node,1709462340,22
Manual,5,edge,1709462340,95
Manual,5,node,1709462345,22
Manual,5,edge,1709462345,95
Manual,5,node,1709462346,22
Manual,5,edge,1709462346,95
Manual,5,node,1709462349,22
Manual,5,edge,1709462349,96
Manual,5,node,1709462359,22
Manual,5,edge,1709462359,96
Manual,5,node,1709462363,22
Manual,5,edge,1709462363,96
Manual,5,node,1709462366,22
Manual,5,edge,1709462366,96
Manual,5,node,1709462369,22
