seed_type,run,scov_type,time,scov
SVRM,3,node,1709461946,5
SVRM,3,edge,1709461946,6
SVRM,3,node,1709461947,5
SVRM,3,edge,1709461947,6
SVRM,3,node,1709461950,6
SVRM,3,edge,1709461950,7
SVRM,3,node,1709461956,7
SVRM,3,edge,1709461956,9
SVRM,3,node,1709461978,8
SVRM,3,edge,1709461978,10
SVRM,3,node,1709461978,9
SVRM,3,edge,1709461978,12
SVRM,3,node,1709461979,10
SVRM,3,edge,1709461979,13
SVRM,3,node,1709461985,10
SVRM,3,edge,1709461985,13
SVRM,3,node,1709461997,10
SVRM,3,edge,1709461997,14
SVRM,3,node,1709462059,10
SVRM,3,edge,1709462059,15
SVRM,3,node,1709462063,10
SVRM,3,edge,1709462063,17
SVRM,3,node,1709462070,10
SVRM,3,edge,1709462070,17
SVRM,3,node,1709462076,10
SVRM,3,edge,1709462076,18
SVRM,3,node,1709462089,10
SVRM,3,edge,1709462089,18
SVRM,3,node,1709462090,10
SVRM,3,edge,1709462090,18
SVRM,3,node,1709462108,10
SVRM,3,edge,1709462108,19
SVRM,3,node,1709462109,10
SVRM,3,edge,1709462109,19
SVRM,3,node,1709462118,11
SVRM,3,edge,1709462118,20
SVRM,3,node,1709462319,11
SVRM,3,edge,1709462319,21
SVRM,3,node,1709462337,11
SVRM,3,edge,1709462337,25
SVRM,3,node,1709462338,11
SVRM,3,edge,1709462338,25
SVRM,3,node,1709462338,12
SVRM,3,edge,1709462338,27
SVRM,3,node,1709462340,13
SVRM,3,edge,1709462340,28
SVRM,3,node,1709462341,13
SVRM,3,edge,1709462341,28
SVRM,3,node,1709462342,13
SVRM,3,edge,1709462342,30
SVRM,3,node,1709462343,13
SVRM,3,edge,1709462343,30
SVRM,3,node,1709462345,13
SVRM,3,edge,1709462345,30
SVRM,3,node,1709462351,13
SVRM,3,edge,1709462351,30
SVRM,3,node,1709462352,13
SVRM,3,edge,1709462352,31
SVRM,3,node,1709462358,14
SVRM,3,edge,1709462358,34
SVRM,3,node,1709462361,14
SVRM,3,edge,1709462361,34
SVRM,3,node,1709462362,14
SVRM,3,edge,1709462362,34
SVRM,3,node,1709462368,14
SVRM,3,edge,1709462368,34
SVRM,3,node,1709462371,14
SVRM,3,edge,1709462371,34
SVRM,3,node,1709462378,14
SVRM,3,edge,1709462378,35
SVRM,3,node,1709462379,14
SVRM,3,edge,1709462379,35
SVRM,3,node,1709462380,14
SVRM,3,edge,1709462380,36
SVRM,3,node,1709462389,14
SVRM,3,edge,1709462389,36
SVRM,3,node,1709462393,14
SVRM,3,edge,1709462393,36
SVRM,3,node,1709462396,14
SVRM,3,edge,1709462396,36
SVRM,3,node,1709462403,14
SVRM,3,edge,1709462403,36
SVRM,3,node,1709462405,14
SVRM,3,edge,1709462405,39
SVRM,3,node,1709462407,14
SVRM,3,edge,1709462407,39
SVRM,3,node,1709462409,14
SVRM,3,edge,1709462409,40
SVRM,3,node,1709462412,14
SVRM,3,edge,1709462412,40
SVRM,3,node,1709462415,14
SVRM,3,edge,1709462415,40
SVRM,3,node,1709462429,14
SVRM,3,edge,1709462429,40
SVRM,3,node,1709462433,15
SVRM,3,edge,1709462433,43
SVRM,3,node,1709462435,15
SVRM,3,edge,1709462435,44
SVRM,3,node,1709462440,15
SVRM,3,edge,1709462440,44
SVRM,3,node,1709462450,15
SVRM,3,edge,1709462450,44
SVRM,3,node,1709462452,15
SVRM,3,edge,1709462452,44
SVRM,3,node,1709462455,15
SVRM,3,edge,1709462455,44
SVRM,3,node,1709462460,15
SVRM,3,edge,1709462460,45
SVRM,3,node,1709462461,15
SVRM,3,edge,1709462461,45
SVRM,3,node,1709462467,15
SVRM,3,edge,1709462467,45
SVRM,3,node,1709462470,15
SVRM,3,edge,1709462470,45
SVRM,3,node,1709462473,15
SVRM,3,edge,1709462473,45
SVRM,3,node,1709462478,15
SVRM,3,edge,1709462478,48
SVRM,3,node,1709462492,15
SVRM,3,edge,1709462492,48
SVRM,3,node,1709462499,15
SVRM,3,edge,1709462499,48
SVRM,3,node,1709462515,15
SVRM,3,edge,1709462515,48
SVRM,3,node,1709462521,15
SVRM,3,edge,1709462521,48
SVRM,3,node,1709462526,15
SVRM,3,edge,1709462526,48
SVRM,3,node,1709462536,15
SVRM,3,edge,1709462536,49
SVRM,3,node,1709462538,15
SVRM,3,edge,1709462538,49
SVRM,3,node,1709462543,15
SVRM,3,edge,1709462543,49
SVRM,3,node,1709462545,15
SVRM,3,edge,1709462545,49
SVRM,3,node,1709462550,15
SVRM,3,edge,1709462550,51
SVRM,3,node,1709462559,15
SVRM,3,edge,1709462559,51
SVRM,3,node,1709462565,16
SVRM,3,edge,1709462565,53
SVRM,3,node,1709462573,16
SVRM,3,edge,1709462573,56
SVRM,3,node,1709462579,16
SVRM,3,edge,1709462579,56
SVRM,3,node,1709462581,16
SVRM,3,edge,1709462581,56
SVRM,3,node,1709462594,16
SVRM,3,edge,1709462594,56
SVRM,3,node,1709462600,16
SVRM,3,edge,1709462600,56
SVRM,3,node,1709462607,16
SVRM,3,edge,1709462607,56
SVRM,3,node,1709462609,16
SVRM,3,edge,1709462609,56
