seed_type,scov_type,time,scov
SVRM,edge,0,0.0
SVRM,edge,1,1.0
SVRM,edge,1001,62.8
SVRM,edge,2001,87.8
SVRM,edge,3001,96.6
SVRM,edge,4001,102.2
SVRM,edge,5001,105.0
SVRM,edge,6001,107.2
SVRM,edge,7001,108.2
SVRM,edge,8001,109.4
SVRM,edge,9001,110.4
SVRM,edge,10001,111.6
SVRM,edge,11001,112.8
SVRM,edge,12001,113.4
SVRM,edge,13001,114.0
SVRM,edge,14001,114.2
SVRM,edge,15001,115.0
SVRM,edge,16001,115.8
SVRM,edge,17001,116.0
SVRM,edge,18001,116.2
SVRM,edge,19001,116.6
SVRM,edge,20001,117.0
SVRM,edge,21001,117.8
SVRM,edge,22001,118.2
SVRM,edge,23001,118.2
SVRM,edge,24001,118.2
SVRM,edge,25001,118.4
SVRM,edge,26001,118.4
SVRM,edge,27001,118.6
SVRM,edge,28001,118.6
SVRM,edge,29001,119.2
SVRM,edge,30001,119.6
SVRM,edge,31001,120.0
SVRM,edge,32001,120.0
SVRM,edge,33001,120.2
SVRM,edge,34001,120.4
SVRM,edge,35001,120.4
SVRM,edge,36001,120.6
SVRM,edge,37001,120.8
SVRM,edge,38001,121.0
SVRM,edge,39001,121.0
SVRM,edge,40001,121.0
SVRM,edge,41001,121.0
SVRM,edge,42001,121.6
SVRM,edge,43001,121.6
SVRM,node,0,0.0
SVRM,node,1,2.0
SVRM,node,1001,13.0
SVRM,node,2001,15.0
SVRM,node,3001,15.0
SVRM,node,4001,15.0
SVRM,node,5001,15.0
SVRM,node,6001,15.0
SVRM,node,7001,15.0
SVRM,node,8001,15.0
SVRM,node,9001,15.0
SVRM,node,10001,15.0
SVRM,node,11001,15.0
SVRM,node,12001,15.0
SVRM,node,13001,15.0
SVRM,node,14001,15.0
SVRM,node,15001,15.0
SVRM,node,16001,15.0
SVRM,node,17001,15.0
SVRM,node,18001,15.0
SVRM,node,19001,15.0
SVRM,node,20001,15.0
SVRM,node,21001,15.0
SVRM,node,22001,15.0
SVRM,node,23001,15.0
SVRM,node,24001,15.0
SVRM,node,25001,15.0
SVRM,node,26001,15.0
SVRM,node,27001,15.0
SVRM,node,28001,15.0
SVRM,node,29001,15.0
SVRM,node,30001,15.0
SVRM,node,31001,15.0
