seed_type,run,scov_type,time,scov
Manual,5,node,1709462081,2
Manual,5,edge,1709462081,1
Manual,5,node,1709462088,5
Manual,5,edge,1709462088,4
Manual,5,node,1709462102,6
Manual,5,edge,1709462102,6
Manual,5,node,1709462108,6
Manual,5,edge,1709462108,6
Manual,5,node,1709462128,7
Manual,5,edge,1709462128,8
Manual,5,node,1709462131,7
Manual,5,edge,1709462131,10
Manual,5,node,1709462132,8
Manual,5,edge,1709462132,14
Manual,5,node,1709462136,8
Manual,5,edge,1709462136,15
Manual,5,node,1709462137,8
Manual,5,edge,1709462137,15
Manual,5,node,1709462138,8
Manual,5,edge,1709462138,16
Manual,5,node,1709462138,8
Manual,5,edge,1709462138,20
Manual,5,node,1709462139,8
Manual,5,edge,1709462139,21
Manual,5,node,1709462141,9
Manual,5,edge,1709462141,22
Manual,5,node,1709462141,10
Manual,5,edge,1709462141,23
Manual,5,node,1709462143,10
Manual,5,edge,1709462143,23
Manual,5,node,1709462144,10
Manual,5,edge,1709462144,24
Manual,5,node,1709462148,10
Manual,5,edge,1709462148,25
Manual,5,node,1709462149,10
Manual,5,edge,1709462149,25
Manual,5,node,1709462150,10
Manual,5,edge,1709462150,25
Manual,5,node,1709462151,10
Manual,5,edge,1709462151,26
Manual,5,node,1709462152,10
Manual,5,edge,1709462152,27
Manual,5,node,1709462153,10
Manual,5,edge,1709462153,27
Manual,5,node,1709462156,10
Manual,5,edge,1709462156,29
Manual,5,node,1709462164,10
Manual,5,edge,1709462164,29
Manual,5,node,1709462165,10
Manual,5,edge,1709462165,30
Manual,5,node,1709462166,10
Manual,5,edge,1709462166,31
Manual,5,node,1709462170,10
Manual,5,edge,1709462170,31
Manual,5,node,1709462172,10
Manual,5,edge,1709462172,31
Manual,5,node,1709462172,10
Manual,5,edge,1709462172,31
Manual,5,node,1709462173,10
Manual,5,edge,1709462173,31
Manual,5,node,1709462174,10
Manual,5,edge,1709462174,31
Manual,5,node,1709462176,10
Manual,5,edge,1709462176,31
Manual,5,node,1709462177,10
Manual,5,edge,1709462177,31
Manual,5,node,1709462178,10
Manual,5,edge,1709462178,31
Manual,5,node,1709462179,10
Manual,5,edge,1709462179,31
Manual,5,node,1709462180,10
Manual,5,edge,1709462180,31
Manual,5,node,1709462183,10
Manual,5,edge,1709462183,33
Manual,5,node,1709462184,10
Manual,5,edge,1709462184,34
Manual,5,node,1709462186,10
Manual,5,edge,1709462186,34
Manual,5,node,1709462187,10
Manual,5,edge,1709462187,34
Manual,5,node,1709462188,10
Manual,5,edge,1709462188,34
Manual,5,node,1709462193,10
Manual,5,edge,1709462193,34
Manual,5,node,1709462194,10
Manual,5,edge,1709462194,34
Manual,5,node,1709462195,10
Manual,5,edge,1709462195,36
Manual,5,node,1709462196,10
Manual,5,edge,1709462196,36
Manual,5,node,1709462197,10
Manual,5,edge,1709462197,37
Manual,5,node,1709462199,10
Manual,5,edge,1709462199,37
Manual,5,node,1709462201,10
Manual,5,edge,1709462201,37
Manual,5,node,1709462204,10
Manual,5,edge,1709462204,38
Manual,5,node,1709462205,10
Manual,5,edge,1709462205,38
Manual,5,node,1709462206,10
Manual,5,edge,1709462206,38
Manual,5,node,1709462207,10
Manual,5,edge,1709462207,39
Manual,5,node,1709462208,10
Manual,5,edge,1709462208,39
Manual,5,node,1709462209,10
Manual,5,edge,1709462209,39
Manual,5,node,1709462213,10
Manual,5,edge,1709462213,39
Manual,5,node,1709462214,10
Manual,5,edge,1709462214,39
Manual,5,node,1709462216,10
Manual,5,edge,1709462216,39
Manual,5,node,1709462219,10
Manual,5,edge,1709462219,41
Manual,5,node,1709462220,12
Manual,5,edge,1709462220,44
Manual,5,node,1709462221,12
Manual,5,edge,1709462221,44
Manual,5,node,1709462221,12
Manual,5,edge,1709462221,44
Manual,5,node,1709462223,12
Manual,5,edge,1709462223,44
Manual,5,node,1709462224,12
Manual,5,edge,1709462224,45
Manual,5,node,1709462225,12
Manual,5,edge,1709462225,45
Manual,5,node,1709462226,12
Manual,5,edge,1709462226,45
Manual,5,node,1709462227,12
Manual,5,edge,1709462227,46
Manual,5,node,1709462228,12
Manual,5,edge,1709462228,46
Manual,5,node,1709462230,12
Manual,5,edge,1709462230,46
Manual,5,node,1709462230,12
Manual,5,edge,1709462230,46
Manual,5,node,1709462231,12
Manual,5,edge,1709462231,46
Manual,5,node,1709462232,12
Manual,5,edge,1709462232,46
Manual,5,node,1709462234,12
Manual,5,edge,1709462234,48
Manual,5,node,1709462241,12
Manual,5,edge,1709462241,48
Manual,5,node,1709462243,12
Manual,5,edge,1709462243,48
Manual,5,node,1709462243,12
Manual,5,edge,1709462243,49
Manual,5,node,1709462245,12
Manual,5,edge,1709462245,49
Manual,5,node,1709462248,12
Manual,5,edge,1709462248,49
Manual,5,node,1709462249,12
Manual,5,edge,1709462249,49
Manual,5,node,1709462251,12
Manual,5,edge,1709462251,49
Manual,5,node,1709462256,12
Manual,5,edge,1709462256,49
Manual,5,node,1709462257,12
Manual,5,edge,1709462257,49
Manual,5,node,1709462265,12
Manual,5,edge,1709462265,49
Manual,5,node,1709462266,12
Manual,5,edge,1709462266,49
Manual,5,node,1709462270,12
Manual,5,edge,1709462270,50
Manual,5,node,1709462275,12
Manual,5,edge,1709462275,50
Manual,5,node,1709462276,12
Manual,5,edge,1709462276,50
Manual,5,node,1709462277,12
Manual,5,edge,1709462277,50
Manual,5,node,1709462280,12
Manual,5,edge,1709462280,50
Manual,5,node,1709462283,12
Manual,5,edge,1709462283,50
Manual,5,node,1709462285,12
Manual,5,edge,1709462285,50
Manual,5,node,1709462287,12
Manual,5,edge,1709462287,50
Manual,5,node,1709462290,12
Manual,5,edge,1709462290,50
Manual,5,node,1709462292,12
Manual,5,edge,1709462292,50
Manual,5,node,1709462295,12
Manual,5,edge,1709462295,50
Manual,5,node,1709462298,12
Manual,5,edge,1709462298,50
Manual,5,node,1709462301,12
Manual,5,edge,1709462301,51
Manual,5,node,1709462304,12
Manual,5,edge,1709462304,51
Manual,5,node,1709462305,12
Manual,5,edge,1709462305,51
Manual,5,node,1709462307,12
Manual,5,edge,1709462307,51
Manual,5,node,1709462312,12
Manual,5,edge,1709462312,51
Manual,5,node,1709462314,12
Manual,5,edge,1709462314,51
Manual,5,node,1709462316,12
Manual,5,edge,1709462316,51
Manual,5,node,1709462325,12
Manual,5,edge,1709462325,51
Manual,5,node,1709462330,12
Manual,5,edge,1709462330,51
Manual,5,node,1709462331,12
Manual,5,edge,1709462331,51
Manual,5,node,1709462343,12
Manual,5,edge,1709462343,51
Manual,5,node,1709462344,12
Manual,5,edge,1709462344,51
Manual,5,node,1709462345,12
Manual,5,edge,1709462345,51
Manual,5,node,1709462346,12
Manual,5,edge,1709462346,51
Manual,5,node,1709462347,12
Manual,5,edge,1709462347,51
Manual,5,node,1709462352,12
Manual,5,edge,1709462352,51
Manual,5,node,1709462354,12
