seed_type,run,scov_type,time,scov
Manual,2,node,1709462076,2
Manual,2,edge,1709462076,1
Manual,2,node,1709462086,5
Manual,2,edge,1709462086,4
Manual,2,node,1709462101,6
Manual,2,edge,1709462101,6
Manual,2,node,1709462107,6
Manual,2,edge,1709462107,6
Manual,2,node,1709462126,7
Manual,2,edge,1709462126,7
Manual,2,node,1709462129,8
Manual,2,edge,1709462129,11
Manual,2,node,1709462133,8
Manual,2,edge,1709462133,13
Manual,2,node,1709462134,8
Manual,2,edge,1709462134,13
Manual,2,node,1709462135,8
Manual,2,edge,1709462135,14
Manual,2,node,1709462136,8
Manual,2,edge,1709462136,15
Manual,2,node,1709462141,8
Manual,2,edge,1709462141,16
Manual,2,node,1709462142,8
Manual,2,edge,1709462142,17
Manual,2,node,1709462143,8
Manual,2,edge,1709462143,17
Manual,2,node,1709462144,8
Manual,2,edge,1709462144,17
Manual,2,node,1709462146,8
Manual,2,edge,1709462146,20
Manual,2,node,1709462146,8
Manual,2,edge,1709462146,20
Manual,2,node,1709462151,9
Manual,2,edge,1709462151,24
Manual,2,node,1709462152,9
Manual,2,edge,1709462152,25
Manual,2,node,1709462152,9
Manual,2,edge,1709462152,26
Manual,2,node,1709462153,9
Manual,2,edge,1709462153,27
Manual,2,node,1709462154,9
Manual,2,edge,1709462154,27
Manual,2,node,1709462158,9
Manual,2,edge,1709462158,27
Manual,2,node,1709462159,9
Manual,2,edge,1709462159,29
Manual,2,node,1709462163,10
Manual,2,edge,1709462163,30
Manual,2,node,1709462164,10
Manual,2,edge,1709462164,30
Manual,2,node,1709462164,10
Manual,2,edge,1709462164,30
Manual,2,node,1709462166,10
Manual,2,edge,1709462166,31
Manual,2,node,1709462166,10
Manual,2,edge,1709462166,34
Manual,2,node,1709462167,10
Manual,2,edge,1709462167,35
Manual,2,node,1709462171,10
Manual,2,edge,1709462171,36
Manual,2,node,1709462173,10
Manual,2,edge,1709462173,37
Manual,2,node,1709462174,12
Manual,2,edge,1709462174,44
Manual,2,node,1709462176,12
Manual,2,edge,1709462176,44
Manual,2,node,1709462179,12
Manual,2,edge,1709462179,44
Manual,2,node,1709462181,12
Manual,2,edge,1709462181,45
Manual,2,node,1709462182,12
Manual,2,edge,1709462182,45
Manual,2,node,1709462183,12
Manual,2,edge,1709462183,45
Manual,2,node,1709462184,12
