seed_type,run,scov_type,time,scov
SVRM,4,node,1709462548,2
SVRM,4,edge,1709462548,1
SVRM,4,node,1709462553,4
SVRM,4,edge,1709462553,4
SVRM,4,node,1709462563,5
SVRM,4,edge,1709462563,5
SVRM,4,node,1709462569,5
SVRM,4,edge,1709462569,6
SVRM,4,node,1709462570,5
SVRM,4,edge,1709462570,7
SVRM,4,node,1709462598,5
SVRM,4,edge,1709462598,8
SVRM,4,node,1709462617,5
SVRM,4,edge,1709462617,8
SVRM,4,node,1709462728,5
SVRM,4,edge,1709462728,9
SVRM,4,node,1709462743,6
SVRM,4,edge,1709462743,11
SVRM,4,node,1709462784,6
SVRM,4,edge,1709462784,11
SVRM,4,node,1709462857,7
SVRM,4,edge,1709462857,13
SVRM,4,node,1709462857,8
SVRM,4,edge,1709462857,14
SVRM,4,node,1709462858,8
SVRM,4,edge,1709462858,15
SVRM,4,node,1709462859,8
SVRM,4,edge,1709462859,17
SVRM,4,node,1709462862,8
SVRM,4,edge,1709462862,18
SVRM,4,node,1709462862,8
SVRM,4,edge,1709462862,18
SVRM,4,node,1709462863,8
SVRM,4,edge,1709462863,19
SVRM,4,node,1709462864,9
SVRM,4,edge,1709462864,23
SVRM,4,node,1709462868,9
SVRM,4,edge,1709462868,25
SVRM,4,node,1709462869,9
SVRM,4,edge,1709462869,28
SVRM,4,node,1709462870,9
SVRM,4,edge,1709462870,28
SVRM,4,node,1709462871,9
SVRM,4,edge,1709462871,28
SVRM,4,node,1709462872,9
SVRM,4,edge,1709462872,30
SVRM,4,node,1709462873,9
SVRM,4,edge,1709462873,31
SVRM,4,node,1709462875,9
SVRM,4,edge,1709462875,31
SVRM,4,node,1709462879,9
SVRM,4,edge,1709462879,34
SVRM,4,node,1709462880,9
SVRM,4,edge,1709462880,34
SVRM,4,node,1709462881,9
SVRM,4,edge,1709462881,35
SVRM,4,node,1709462881,9
SVRM,4,edge,1709462881,35
SVRM,4,node,1709462882,9
SVRM,4,edge,1709462882,35
SVRM,4,node,1709462883,9
SVRM,4,edge,1709462883,35
SVRM,4,node,1709462885,9
SVRM,4,edge,1709462885,35
SVRM,4,node,1709462886,9
SVRM,4,edge,1709462886,35
SVRM,4,node,1709462887,9
SVRM,4,edge,1709462887,35
SVRM,4,node,1709462888,9
SVRM,4,edge,1709462888,35
SVRM,4,node,1709462890,9
SVRM,4,edge,1709462890,35
SVRM,4,node,1709462891,9
SVRM,4,edge,1709462891,35
SVRM,4,node,1709462893,9
SVRM,4,edge,1709462893,36
SVRM,4,node,1709462894,9
SVRM,4,edge,1709462894,37
SVRM,4,node,1709462895,9
SVRM,4,edge,1709462895,37
SVRM,4,node,1709462898,9
SVRM,4,edge,1709462898,37
SVRM,4,node,1709462898,9
SVRM,4,edge,1709462898,38
SVRM,4,node,1709462899,9
SVRM,4,edge,1709462899,38
SVRM,4,node,1709462900,9
SVRM,4,edge,1709462900,38
SVRM,4,node,1709462901,9
SVRM,4,edge,1709462901,38
SVRM,4,node,1709462903,9
SVRM,4,edge,1709462903,38
SVRM,4,node,1709462903,9
SVRM,4,edge,1709462903,38
SVRM,4,node,1709462904,9
SVRM,4,edge,1709462904,38
SVRM,4,node,1709462906,9
SVRM,4,edge,1709462906,38
SVRM,4,node,1709462907,9
SVRM,4,edge,1709462907,38
SVRM,4,node,1709462910,9
SVRM,4,edge,1709462910,38
SVRM,4,node,1709462910,9
SVRM,4,edge,1709462910,38
SVRM,4,node,1709462912,9
SVRM,4,edge,1709462912,38
SVRM,4,node,1709462915,9
SVRM,4,edge,1709462915,38
SVRM,4,node,1709462916,9
SVRM,4,edge,1709462916,38
SVRM,4,node,1709462917,9
SVRM,4,edge,1709462917,38
SVRM,4,node,1709462919,9
SVRM,4,edge,1709462919,38
SVRM,4,node,1709462926,9
SVRM,4,edge,1709462926,38
SVRM,4,node,1709462927,9
SVRM,4,edge,1709462927,38
SVRM,4,node,1709462928,9
SVRM,4,edge,1709462928,40
SVRM,4,node,1709462935,9
SVRM,4,edge,1709462935,40
SVRM,4,node,1709462938,11
SVRM,4,edge,1709462938,43
SVRM,4,node,1709462940,11
SVRM,4,edge,1709462940,43
SVRM,4,node,1709462944,11
SVRM,4,edge,1709462944,43
SVRM,4,node,1709462946,11
SVRM,4,edge,1709462946,43
SVRM,4,node,1709462949,11
SVRM,4,edge,1709462949,43
SVRM,4,node,1709462950,11
SVRM,4,edge,1709462950,43
SVRM,4,node,1709462953,11
SVRM,4,edge,1709462953,43
SVRM,4,node,1709462955,11
SVRM,4,edge,1709462955,43
SVRM,4,node,1709462956,11
SVRM,4,edge,1709462956,43
SVRM,4,node,1709462957,11
SVRM,4,edge,1709462957,43
SVRM,4,node,1709462959,11
SVRM,4,edge,1709462959,43
SVRM,4,node,1709462961,11
SVRM,4,edge,1709462961,43
SVRM,4,node,1709462962,11
SVRM,4,edge,1709462962,43
SVRM,4,node,1709462964,11
SVRM,4,edge,1709462964,44
SVRM,4,node,1709462969,11
SVRM,4,edge,1709462969,45
SVRM,4,node,1709462969,11
SVRM,4,edge,1709462969,46
SVRM,4,node,1709462970,11
SVRM,4,edge,1709462970,47
SVRM,4,node,1709462972,11
SVRM,4,edge,1709462972,47
SVRM,4,node,1709462980,11
SVRM,4,edge,1709462980,47
SVRM,4,node,1709462983,11
SVRM,4,edge,1709462983,47
SVRM,4,node,1709462985,11
SVRM,4,edge,1709462985,47
SVRM,4,node,1709462986,11
SVRM,4,edge,1709462986,47
SVRM,4,node,1709462987,11
SVRM,4,edge,1709462987,48
SVRM,4,node,1709462989,11
SVRM,4,edge,1709462989,48
SVRM,4,node,1709462990,11
SVRM,4,edge,1709462990,48
SVRM,4,node,1709462994,11
SVRM,4,edge,1709462994,48
SVRM,4,node,1709462996,11
SVRM,4,edge,1709462996,49
SVRM,4,node,1709462998,11
SVRM,4,edge,1709462998,49
SVRM,4,node,1709463000,11
SVRM,4,edge,1709463000,49
SVRM,4,node,1709463001,11
SVRM,4,edge,1709463001,49
SVRM,4,node,1709463005,11
SVRM,4,edge,1709463005,49
SVRM,4,node,1709463006,11
SVRM,4,edge,1709463006,49
SVRM,4,node,1709463007,11
SVRM,4,edge,1709463007,49
SVRM,4,node,1709463010,11
SVRM,4,edge,1709463010,49
SVRM,4,node,1709463015,11
SVRM,4,edge,1709463015,49
SVRM,4,node,1709463018,11
SVRM,4,edge,1709463018,49
SVRM,4,node,1709463019,11
SVRM,4,edge,1709463019,49
SVRM,4,node,1709463020,11
SVRM,4,edge,1709463020,49
SVRM,4,node,1709463023,11
SVRM,4,edge,1709463023,50
SVRM,4,node,1709463024,11
SVRM,4,edge,1709463024,50
SVRM,4,node,1709463026,11
SVRM,4,edge,1709463026,50
SVRM,4,node,1709463028,11
SVRM,4,edge,1709463028,50
SVRM,4,node,1709463033,11
SVRM,4,edge,1709463033,50
SVRM,4,node,1709463034,11
SVRM,4,edge,1709463034,50
SVRM,4,node,1709463035,11
SVRM,4,edge,1709463035,51
SVRM,4,node,1709463044,11
SVRM,4,edge,1709463044,51
SVRM,4,node,1709463046,11
SVRM,4,edge,1709463046,51
SVRM,4,node,1709463051,11
SVRM,4,edge,1709463051,51
SVRM,4,node,1709463052,11
SVRM,4,edge,1709463052,51
SVRM,4,node,1709463055,11
SVRM,4,edge,1709463055,51
SVRM,4,node,1709463056,11
SVRM,4,edge,1709463056,51
SVRM,4,node,1709463063,11
SVRM,4,edge,1709463063,51
SVRM,4,node,1709463064,11
SVRM,4,edge,1709463064,51
SVRM,4,node,1709463068,11
SVRM,4,edge,1709463068,51
SVRM,4,node,1709463070,11
SVRM,4,edge,1709463070,51
SVRM,4,node,1709463079,11
SVRM,4,edge,1709463079,51
SVRM,4,node,1709463081,11
SVRM,4,edge,1709463081,51
SVRM,4,node,1709463083,11
SVRM,4,edge,1709463083,51
SVRM,4,node,1709463085,11
SVRM,4,edge,1709463085,51
SVRM,4,node,1709463089,11
SVRM,4,edge,1709463089,52
SVRM,4,node,1709463093,11
SVRM,4,edge,1709463093,52
SVRM,4,node,1709463095,11
SVRM,4,edge,1709463095,52
SVRM,4,node,1709463097,11
SVRM,4,edge,1709463097,54
SVRM,4,node,1709463099,11
SVRM,4,edge,1709463099,54
SVRM,4,node,1709463100,11
SVRM,4,edge,1709463100,54
SVRM,4,node,1709463101,11
SVRM,4,edge,1709463101,54
SVRM,4,node,1709463105,11
SVRM,4,edge,1709463105,54
SVRM,4,node,1709463118,11
SVRM,4,edge,1709463118,54
SVRM,4,node,1709463130,11
SVRM,4,edge,1709463130,54
SVRM,4,node,1709463135,11
SVRM,4,edge,1709463135,54
SVRM,4,node,1709463137,11
SVRM,4,edge,1709463137,54
SVRM,4,node,1709463138,11
SVRM,4,edge,1709463138,54
SVRM,4,node,1709463140,11
SVRM,4,edge,1709463140,54
SVRM,4,node,1709463141,11
SVRM,4,edge,1709463141,54
SVRM,4,node,1709463143,11
SVRM,4,edge,1709463143,54
SVRM,4,node,1709463149,11
SVRM,4,edge,1709463149,54
SVRM,4,node,1709463150,11
SVRM,4,edge,1709463150,54
SVRM,4,node,1709463153,11
SVRM,4,edge,1709463153,54
SVRM,4,node,1709463158,11
SVRM,4,edge,1709463158,54
SVRM,4,node,1709463163,11
SVRM,4,edge,1709463163,55
SVRM,4,node,1709463165,11
SVRM,4,edge,1709463165,55
SVRM,4,node,1709463169,11
SVRM,4,edge,1709463169,55
SVRM,4,node,1709463174,11
SVRM,4,edge,1709463174,55
SVRM,4,node,1709463176,11
SVRM,4,edge,1709463176,55
SVRM,4,node,1709463182,11
SVRM,4,edge,1709463182,55
SVRM,4,node,1709463188,11
SVRM,4,edge,1709463188,55
SVRM,4,node,1709463191,11
SVRM,4,edge,1709463191,55
SVRM,4,node,1709463198,11
SVRM,4,edge,1709463198,55
SVRM,4,node,1709463202,11
SVRM,4,edge,1709463202,55
SVRM,4,node,1709463203,11
SVRM,4,edge,1709463203,55
SVRM,4,node,1709463204,11
SVRM,4,edge,1709463204,55
SVRM,4,node,1709463206,11
SVRM,4,edge,1709463206,56
SVRM,4,node,1709463208,12
SVRM,4,edge,1709463208,58
SVRM,4,node,1709463209,12
SVRM,4,edge,1709463209,58
SVRM,4,node,1709463210,12
SVRM,4,edge,1709463210,58
SVRM,4,node,1709463212,12
SVRM,4,edge,1709463212,58
SVRM,4,node,1709463213,12
SVRM,4,edge,1709463213,58
SVRM,4,node,1709463218,12
SVRM,4,edge,1709463218,58
SVRM,4,node,1709463230,12
SVRM,4,edge,1709463230,58
SVRM,4,node,1709463231,12
SVRM,4,edge,1709463231,58
SVRM,4,node,1709463232,12
SVRM,4,edge,1709463232,58
SVRM,4,node,1709463233,12
SVRM,4,edge,1709463233,58
SVRM,4,node,1709463241,12
SVRM,4,edge,1709463241,59
