seed_type,scov_type,time,scov
SVRM,edge,0,0.0
SVRM,edge,1,5.0
SVRM,edge,1001,10.4
SVRM,edge,2001,10.8
SVRM,edge,3001,11.4
SVRM,edge,4001,11.4
SVRM,edge,5001,12.2
SVRM,edge,6001,16.4
SVRM,edge,7001,18.6
SVRM,edge,8001,27.6
SVRM,edge,9001,32.6
SVRM,edge,10001,36.2
SVRM,edge,11001,36.6
SVRM,edge,12001,42.6
SVRM,edge,13001,47.0
SVRM,edge,14001,47.0
SVRM,edge,15001,47.0
SVRM,edge,16001,47.2
SVRM,edge,17001,47.4
SVRM,edge,18001,47.4
SVRM,edge,19001,47.4
SVRM,edge,20001,51.0
SVRM,edge,21001,51.0
SVRM,edge,22001,51.0
SVRM,edge,23001,51.0
SVRM,edge,24001,51.0
SVRM,edge,25001,51.0
SVRM,edge,26001,55.8
SVRM,edge,27001,55.8
SVRM,edge,28001,55.8
SVRM,edge,29001,55.8
SVRM,edge,30001,56.0
SVRM,edge,31001,56.0
SVRM,edge,32001,56.0
SVRM,edge,33001,56.0
SVRM,edge,34001,56.0
SVRM,edge,35001,56.2
SVRM,edge,36001,56.2
SVRM,edge,37001,56.2
SVRM,edge,38001,56.2
SVRM,edge,39001,56.2
SVRM,edge,40001,56.2
SVRM,edge,41001,56.2
SVRM,edge,42001,56.2
SVRM,edge,43001,61.4
SVRM,node,0,0.0
SVRM,node,1,5.0
SVRM,node,1001,9.4
SVRM,node,2001,9.8
SVRM,node,3001,10.2
SVRM,node,4001,10.2
SVRM,node,5001,11.0
SVRM,node,6001,15.2
SVRM,node,7001,17.4
SVRM,node,8001,26.2
SVRM,node,9001,31.2
SVRM,node,10001,34.8
SVRM,node,11001,34.8
SVRM,node,12001,40.6
SVRM,node,13001,45.0
SVRM,node,14001,45.0
SVRM,node,15001,45.0
SVRM,node,16001,45.0
SVRM,node,17001,45.0
SVRM,node,18001,45.0
SVRM,node,19001,45.0
SVRM,node,20001,48.4
SVRM,node,21001,48.4
SVRM,node,22001,48.4
SVRM,node,23001,48.4
SVRM,node,24001,48.4
SVRM,node,25001,48.4
SVRM,node,26001,53.0
SVRM,node,27001,53.0
SVRM,node,28001,53.0
SVRM,node,29001,53.0
SVRM,node,30001,53.0
SVRM,node,31001,53.0
SVRM,node,32001,53.0
SVRM,node,33001,53.0
SVRM,node,34001,53.0
SVRM,node,35001,53.0
SVRM,node,36001,53.0
SVRM,node,37001,53.0
SVRM,node,38001,53.0
SVRM,node,39001,53.0
SVRM,node,40001,53.0
SVRM,node,41001,53.0
SVRM,node,42001,53.0
SVRM,node,43001,57.6
SVRM,l_abs,0,0.0
SVRM,l_abs,1,19404.0
SVRM,l_abs,1001,21132.2
SVRM,l_abs,2001,21148.4
SVRM,l_abs,3001,21213.4
SVRM,l_abs,4001,21347.4
SVRM,l_abs,5001,21461.2
SVRM,l_abs,6001,21464.0
SVRM,l_abs,7001,21473.2
SVRM,l_abs,8001,21478.2
SVRM,l_abs,9001,21492.2
SVRM,l_abs,10001,21496.0
SVRM,l_abs,11001,21497.6
SVRM,l_abs,12001,21657.0
SVRM,l_abs,13001,21848.8
SVRM,l_abs,14001,21956.6
SVRM,l_abs,15001,22090.0
SVRM,l_abs,16001,22355.8
SVRM,l_abs,17001,22364.0
SVRM,l_abs,18001,22364.6
SVRM,l_abs,19001,22373.0
SVRM,l_abs,20001,22462.0
SVRM,l_abs,21001,22467.2
SVRM,l_abs,22001,22468.0
SVRM,l_abs,23001,22494.8
SVRM,l_abs,24001,22496.2
SVRM,l_abs,25001,22497.0
SVRM,l_abs,26001,22501.2
SVRM,l_abs,27001,22501.2
SVRM,l_abs,28001,22501.2
SVRM,l_abs,29001,22502.0
SVRM,l_abs,30001,22519.8
SVRM,l_abs,31001,22525.8
SVRM,l_abs,32001,22529.4
SVRM,l_abs,33001,22539.8
SVRM,l_abs,34001,22541.8
SVRM,l_abs,35001,22557.8
SVRM,l_abs,36001,22560.2
SVRM,l_abs,37001,22561.8
SVRM,l_abs,38001,22653.6
SVRM,l_abs,39001,22655.6
SVRM,l_abs,40001,22660.6
SVRM,l_abs,41001,22784.8
SVRM,l_abs,42001,22865.6
SVRM,l_abs,43001,22894.8
SVRM,b_abs,0,0.0
SVRM,b_abs,1,8123.0
SVRM,b_abs,1001,9121.2
SVRM,b_abs,2001,9139.8
SVRM,b_abs,3001,9172.4
SVRM,b_abs,4001,9239.4
SVRM,b_abs,5001,9306.2
SVRM,b_abs,6001,9309.0
SVRM,b_abs,7001,9315.6
SVRM,b_abs,8001,9320.6
SVRM,b_abs,9001,9328.2
SVRM,b_abs,10001,9332.0
SVRM,b_abs,11001,9334.4
SVRM,b_abs,12001,9389.2
SVRM,b_abs,13001,9474.2
SVRM,b_abs,14001,9523.6
SVRM,b_abs,15001,9588.6
SVRM,b_abs,16001,9704.2
SVRM,b_abs,17001,9709.2
SVRM,b_abs,18001,9709.8
SVRM,b_abs,19001,9714.2
SVRM,b_abs,20001,9762.6
SVRM,b_abs,21001,9766.4
SVRM,b_abs,22001,9767.2
SVRM,b_abs,23001,9776.2
SVRM,b_abs,24001,9777.8
SVRM,b_abs,25001,9778.2
SVRM,b_abs,26001,9780.4
SVRM,b_abs,27001,9780.6
SVRM,b_abs,28001,9780.6
SVRM,b_abs,29001,9781.0
SVRM,b_abs,30001,9792.4
SVRM,b_abs,31001,9796.2
SVRM,b_abs,32001,9798.2
SVRM,b_abs,33001,9802.8
SVRM,b_abs,34001,9803.6
SVRM,b_abs,35001,9813.8
SVRM,b_abs,36001,9815.2
SVRM,b_abs,37001,9816.4
SVRM,b_abs,38001,9859.8
