seed_type,run,scov_type,time,scov
Manual,4,l_abs,1709539593,19345
Manual,4,l_abs,1709539603,19534
Manual,4,l_abs,1709539616,19572
Manual,4,l_abs,1709539637,19600
Manual,4,l_abs,1709539657,19635
Manual,4,l_abs,1709539686,19639
Manual,4,l_abs,1709539705,19645
Manual,4,l_abs,1709539731,19650
Manual,4,l_abs,1709539755,20165
Manual,4,l_abs,1709539773,20199
Manual,4,l_abs,1709539813,20199
Manual,4,l_abs,1709539838,20204
Manual,4,l_abs,1709539862,20211
Manual,4,l_abs,1709539908,20238
Manual,4,l_abs,1709539978,20256
Manual,4,l_abs,1709540029,20530
Manual,4,l_abs,1709540102,20534
Manual,4,l_abs,1709540156,20539
Manual,4,l_abs,1709540202,20557
Manual,4,l_abs,1709540287,20557
Manual,4,l_abs,1709540377,20567
Manual,4,l_abs,1709540469,20574
Manual,4,l_abs,1709540821,20575
Manual,4,l_abs,1709541016,20578
Manual,4,l_abs,1709541326,20578
Manual,4,l_abs,1709541412,20601
Manual,4,l_abs,1709541572,20604
Manual,4,l_abs,1709542113,20619
Manual,4,l_abs,1709542580,20915
Manual,4,l_abs,1709542666,20916
Manual,4,l_abs,1709542799,20928
Manual,4,l_abs,1709543326,20931
Manual,4,l_abs,1709544015,20932
Manual,4,l_abs,1709544263,20966
Manual,4,l_abs,1709544357,20970
Manual,4,l_abs,1709544565,20970
Manual,4,l_abs,1709545056,20982
Manual,4,l_abs,1709545727,20982
Manual,4,l_abs,1709545888,20987
Manual,4,l_abs,1709546383,20987
Manual,4,l_abs,1709546638,20987
Manual,4,l_abs,1709547454,20992
Manual,4,l_abs,1709547790,21021
Manual,4,l_abs,1709548236,21023
Manual,4,l_abs,1709548916,21023
Manual,4,l_abs,1709549125,21061
Manual,4,l_abs,1709549500,21062
Manual,4,l_abs,1709549704,21067
Manual,4,l_abs,1709549967,21071
Manual,4,l_abs,1709550252,21078
Manual,4,l_abs,1709550923,21088
Manual,4,l_abs,1709552090,21088
Manual,4,l_abs,1709553026,21489
Manual,4,l_abs,1709553117,21489
Manual,4,l_abs,1709553237,21489
Manual,4,l_abs,1709553907,21491
Manual,4,l_abs,1709554395,21492
Manual,4,l_abs,1709554669,21497
Manual,4,l_abs,1709555572,21501
Manual,4,l_abs,1709555886,21501
Manual,4,l_abs,1709556173,21505
Manual,4,l_abs,1709556279,21506
Manual,4,l_abs,1709556740,21506
Manual,4,l_abs,1709557197,21506
Manual,4,l_abs,1709557599,21508
Manual,4,l_abs,1709558126,21509
Manual,4,l_abs,1709558708,21510
Manual,4,l_abs,1709559163,21518
Manual,4,l_abs,1709559910,22414
Manual,4,l_abs,1709560229,22414
Manual,4,l_abs,1709560535,22414
Manual,4,l_abs,1709561096,22414
Manual,4,l_abs,1709561425,22415
Manual,4,l_abs,1709562801,22487
Manual,4,l_abs,1709563908,22487
Manual,4,l_abs,1709564574,22489
Manual,4,l_abs,1709564944,22489
Manual,4,l_abs,1709565265,22498
Manual,4,l_abs,1709565664,22500
Manual,4,l_abs,1709567064,22500
Manual,4,l_abs,1709567516,22504
Manual,4,l_abs,1709568516,22504
Manual,4,l_abs,1709569537,22524
Manual,4,l_abs,1709569548,22524
Manual,4,l_abs,1709569626,22524
Manual,4,l_abs,1709569762,22524
Manual,4,l_abs,1709570276,22524
Manual,4,l_abs,1709571309,22524
Manual,4,l_abs,1709572474,22526
Manual,4,l_abs,1709572843,23001
Manual,4,l_abs,1709573267,23001
Manual,4,l_abs,1709573343,23001
Manual,4,l_abs,1709573994,23005
Manual,4,l_abs,1709574409,23005
Manual,4,l_abs,1709574719,23005
Manual,4,l_abs,1709575237,23005
Manual,4,l_abs,1709575467,23005
Manual,4,l_abs,1709575764,23005
Manual,4,l_abs,1709575868,23005
Manual,4,l_abs,1709576524,23005
Manual,4,l_abs,1709577197,23005
Manual,4,l_abs,1709577548,23005
Manual,4,l_abs,1709579109,23005
Manual,4,l_abs,1709580007,23005
Manual,4,l_abs,1709581399,23005
Manual,4,l_abs,1709582736,23005
Manual,4,b_abs,1709539593,8113
Manual,4,b_abs,1709539603,8249
Manual,4,b_abs,1709539616,8275
Manual,4,b_abs,1709539637,8291
Manual,4,b_abs,1709539657,8315
Manual,4,b_abs,1709539686,8317
Manual,4,b_abs,1709539705,8322
Manual,4,b_abs,1709539731,8328
Manual,4,b_abs,1709539755,8644
Manual,4,b_abs,1709539773,8681
Manual,4,b_abs,1709539813,8682
Manual,4,b_abs,1709539838,8688
Manual,4,b_abs,1709539862,8698
Manual,4,b_abs,1709539908,8704
Manual,4,b_abs,1709539978,8710
Manual,4,b_abs,1709540029,8822
Manual,4,b_abs,1709540102,8834
Manual,4,b_abs,1709540156,8838
Manual,4,b_abs,1709540202,8852
Manual,4,b_abs,1709540287,8852
Manual,4,b_abs,1709540377,8859
Manual,4,b_abs,1709540469,8866
Manual,4,b_abs,1709540821,8870
Manual,4,b_abs,1709541016,8872
Manual,4,b_abs,1709541326,8873
Manual,4,b_abs,1709541412,8890
Manual,4,b_abs,1709541572,8895
Manual,4,b_abs,1709542113,8905
Manual,4,b_abs,1709542580,9046
Manual,4,b_abs,1709542666,9047
Manual,4,b_abs,1709542799,9058
Manual,4,b_abs,1709543326,9059
Manual,4,b_abs,1709544015,9063
Manual,4,b_abs,1709544263,9082
Manual,4,b_abs,1709544357,9087
Manual,4,b_abs,1709544565,9087
Manual,4,b_abs,1709545056,9092
Manual,4,b_abs,1709545727,9093
Manual,4,b_abs,1709545888,9096
Manual,4,b_abs,1709546383,9097
Manual,4,b_abs,1709546638,9097
Manual,4,b_abs,1709547454,9099
Manual,4,b_abs,1709547790,9123
Manual,4,b_abs,1709548236,9124
Manual,4,b_abs,1709548916,9125
Manual,4,b_abs,1709549125,9149
Manual,4,b_abs,1709549500,9151
Manual,4,b_abs,1709549704,9157
