seed_type,run,scov_type,time,scov
Manual,5,node,1709539586,5
Manual,5,edge,1709539586,5
Manual,5,node,1709539590,6
Manual,5,edge,1709539590,6
Manual,5,node,1709539797,9
Manual,5,edge,1709539797,10
Manual,5,node,1709540445,10
Manual,5,edge,1709540445,11
Manual,5,node,1709540988,10
Manual,5,edge,1709540988,11
Manual,5,node,1709544505,10
Manual,5,edge,1709544505,12
Manual,5,node,1709569627,20
Manual,5,edge,1709569627,23
Manual,5,node,1709572773,20
Manual,5,edge,1709572773,24
Manual,4,node,1709539593,5
Manual,4,edge,1709539593,5
Manual,4,node,1709539597,6
Manual,4,edge,1709539597,6
Manual,4,node,1709539755,9
Manual,4,edge,1709539755,10
Manual,4,node,1709539937,10
Manual,4,edge,1709539937,11
Manual,4,node,1709540831,10
Manual,4,edge,1709540831,11
Manual,4,node,1709556914,10
Manual,4,edge,1709556914,12
Manual,4,node,1709556963,10
Manual,4,edge,1709556963,12
Manual,4,node,1709567141,10
Manual,4,edge,1709567141,13
Manual,4,node,1709569868,19
Manual,4,edge,1709569868,24
Manual,4,node,1709570236,19
Manual,4,edge,1709570236,24
Manual,4,node,1709575836,43
Manual,4,edge,1709575836,49
Manual,4,node,1709575936,45
Manual,4,edge,1709575936,51
Manual,4,node,1709579009,60
Manual,4,edge,1709579009,70
SVRM,5,node,1709539606,5
SVRM,5,edge,1709539606,5
SVRM,5,node,1709539613,6
SVRM,5,edge,1709539613,6
SVRM,5,node,1709539738,9
SVRM,5,edge,1709539738,10
SVRM,5,node,1709540111,10
SVRM,5,edge,1709540111,11
SVRM,5,node,1709541433,10
SVRM,5,edge,1709541433,11
SVRM,5,node,1709556311,10
SVRM,5,edge,1709556311,12
SVRM,5,node,1709558947,10
SVRM,5,edge,1709558947,13
SVRM,5,node,1709560577,10
SVRM,5,edge,1709560577,13
SVRM,5,node,1709574500,10
SVRM,5,edge,1709574500,14
Manual,1,node,1709539589,5
Manual,1,edge,1709539589,5
Manual,1,node,1709539593,6
Manual,1,edge,1709539593,6
Manual,1,node,1709539850,9
Manual,1,edge,1709539850,10
Manual,1,node,1709540604,9
Manual,1,edge,1709540604,11
Manual,1,node,1709541433,9
Manual,1,edge,1709541433,11
Manual,1,node,1709541540,10
Manual,1,edge,1709541540,12
Manual,1,node,1709579219,10
Manual,1,edge,1709579219,13
Manual,1,node,1709580465,10
Manual,1,edge,1709580465,13
Manual,2,node,1709539590,5
Manual,2,edge,1709539590,5
Manual,2,node,1709539594,6
Manual,2,edge,1709539594,6
Manual,2,node,1709539943,9
Manual,2,edge,1709539943,10
Manual,2,node,1709540432,10
Manual,2,edge,1709540432,11
Manual,2,node,1709540814,10
Manual,2,edge,1709540814,11
Manual,2,node,1709548880,10
Manual,2,edge,1709548880,12
Manual,2,node,1709554491,10
Manual,2,edge,1709554491,12
Manual,2,node,1709570334,10
Manual,2,edge,1709570334,13
Manual,2,node,1709571666,10
Manual,2,edge,1709571666,13
Manual,2,node,1709581870,10
Manual,2,edge,1709581870,14
SVRM,2,node,1709539598,5
SVRM,2,edge,1709539598,5
SVRM,2,node,1709539600,6
SVRM,2,edge,1709539600,6
SVRM,2,node,1709539812,9
SVRM,2,edge,1709539812,10
SVRM,2,node,1709540818,10
SVRM,2,edge,1709540818,11
SVRM,2,node,1709541401,10
SVRM,2,edge,1709541401,11
SVRM,2,node,1709550590,10
SVRM,2,edge,1709550590,12
SVRM,2,node,1709581640,10
SVRM,2,edge,1709581640,13
SVRM,1,node,1709539598,5
SVRM,1,edge,1709539598,5
SVRM,1,node,1709539600,6
SVRM,1,edge,1709539600,6
SVRM,1,node,1709539812,9
SVRM,1,edge,1709539812,10
SVRM,1,node,1709540818,10
SVRM,1,edge,1709540818,11
SVRM,1,node,1709541401,10
SVRM,1,edge,1709541401,11
SVRM,1,node,1709550590,10
SVRM,1,edge,1709550590,12
SVRM,1,node,1709581640,10
SVRM,1,edge,1709581640,13
SVRM,4,node,1709539599,5
SVRM,4,edge,1709539599,5
SVRM,4,node,1709539601,6
SVRM,4,edge,1709539601,6
SVRM,4,node,1709539837,9
SVRM,4,edge,1709539837,10
SVRM,4,node,1709539896,10
SVRM,4,edge,1709539896,11
SVRM,4,node,1709541081,10
SVRM,4,edge,1709541081,11
SVRM,4,node,1709541812,11
SVRM,4,edge,1709541812,13
SVRM,4,node,1709543810,15
SVRM,4,edge,1709543810,17
SVRM,4,node,1709544208,15
SVRM,4,edge,1709544208,17
SVRM,4,node,1709544817,36
SVRM,4,edge,1709544817,38
SVRM,4,node,1709545929,47
SVRM,4,edge,1709545929,49
SVRM,4,node,1709546864,58
SVRM,4,edge,1709546864,60
SVRM,4,node,1709547433,73
SVRM,4,edge,1709547433,76
SVRM,4,node,1709547450,90
SVRM,4,edge,1709547450,93
SVRM,4,node,1709547454,91
SVRM,4,edge,1709547454,94
SVRM,4,node,1709548079,116
SVRM,4,edge,1709548079,119
SVRM,4,node,1709549587,134
SVRM,4,edge,1709549587,137
SVRM,4,node,1709550718,156
SVRM,4,edge,1709550718,160
SVRM,4,node,1709551282,163
SVRM,4,edge,1709551282,167
SVRM,4,node,1709552112,185
SVRM,4,edge,1709552112,189
SVRM,4,node,1709559596,202
SVRM,4,edge,1709559596,206
SVRM,4,node,1709565394,225
SVRM,4,edge,1709565394,230
SVRM,4,node,1709582261,248
SVRM,4,edge,1709582261,254
Manual,3,node,1709539591,5
Manual,3,edge,1709539591,5
Manual,3,node,1709539596,6
Manual,3,edge,1709539596,6
Manual,3,node,1709539802,9
Manual,3,edge,1709539802,10
Manual,3,node,1709539834,10
Manual,3,edge,1709539834,11
Manual,3,node,1709540606,10
Manual,3,edge,1709540606,11
Manual,3,node,1709545910,10
Manual,3,edge,1709545910,12
Manual,3,node,1709549535,10
Manual,3,edge,1709549535,12
Manual,3,node,1709565661,14
Manual,3,edge,1709565661,17
SVRM,3,node,1709539597,5
SVRM,3,edge,1709539597,5
SVRM,3,node,1709539599,6
SVRM,3,edge,1709539599,6
SVRM,3,node,1709539776,9
SVRM,3,edge,1709539776,10
SVRM,3,node,1709541314,9
SVRM,3,edge,1709541314,10
SVRM,3,node,1709542478,10
SVRM,3,edge,1709542478,11
SVRM,3,node,1709554760,10
SVRM,3,edge,1709554760,12
SVRM,3,node,1709568883,10
SVRM,3,edge,1709568883,13
SVRM,3,l_abs,1709539597,19404
SVRM,3,l_abs,1709539598,19404
SVRM,3,l_abs,1709539599,19441
SVRM,3,l_abs,1709539606,19441
SVRM,3,l_abs,1709539607,19448
SVRM,3,l_abs,1709539608,19448
SVRM,3,l_abs,1709539609,19448
SVRM,3,l_abs,1709539610,19448
SVRM,3,l_abs,1709539620,19453
SVRM,3,l_abs,1709539622,19453
SVRM,3,l_abs,1709539623,19453
SVRM,3,l_abs,1709539624,19458
SVRM,3,l_abs,1709539625,19458
SVRM,3,l_abs,1709539628,19458
SVRM,3,l_abs,1709539629,19458
SVRM,3,l_abs,1709539630,19458
SVRM,3,l_abs,1709539632,19458
SVRM,3,l_abs,1709539633,19458
SVRM,3,l_abs,1709539635,19510
SVRM,3,l_abs,1709539643,19510
SVRM,3,l_abs,1709539645,19510
SVRM,3,l_abs,1709539652,19511
SVRM,3,l_abs,1709539653,19511
SVRM,3,l_abs,1709539655,19511
SVRM,3,l_abs,1709539657,19529
SVRM,3,l_abs,1709539659,19529
SVRM,3,l_abs,1709539667,19529
SVRM,3,l_abs,1709539669,19529
SVRM,3,l_abs,1709539670,19529
SVRM,3,l_abs,1709539671,19529
SVRM,3,l_abs,1709539673,19529
SVRM,3,l_abs,1709539674,19552
SVRM,3,l_abs,1709539676,19552
SVRM,3,l_abs,1709539678,19552
SVRM,3,l_abs,1709539680,19552
SVRM,3,l_abs,1709539684,19552
SVRM,3,l_abs,1709539686,19552
SVRM,3,l_abs,1709539687,19552
SVRM,3,l_abs,1709539688,19552
SVRM,3,l_abs,1709539690,19552
SVRM,3,l_abs,1709539692,19552
SVRM,3,l_abs,1709539694,19552
SVRM,3,l_abs,1709539695,19552
SVRM,3,l_abs,1709539607,19552
SVRM,3,l_abs,1709539622,19552
SVRM,3,l_abs,1709539629,19552
SVRM,3,l_abs,1709539643,19552
SVRM,3,l_abs,1709539657,19552
SVRM,3,l_abs,1709539671,19552
SVRM,3,l_abs,1709539680,19552
SVRM,3,l_abs,1709539690,19552
SVRM,3,l_abs,1709539703,19552
SVRM,3,l_abs,1709539722,19567
SVRM,3,l_abs,1709539735,19590
SVRM,3,l_abs,1709539754,19614
SVRM,3,l_abs,1709539776,20057
SVRM,3,l_abs,1709539801,20063
SVRM,3,l_abs,1709539825,20063
SVRM,3,l_abs,1709539850,20093
SVRM,3,l_abs,1709539876,20096
SVRM,3,l_abs,1709539893,20105
SVRM,3,l_abs,1709539934,20154
SVRM,3,l_abs,1709539971,20159
SVRM,3,l_abs,1709540019,20162
SVRM,3,l_abs,1709540052,20162
SVRM,3,l_abs,1709540078,20463
SVRM,3,l_abs,1709540158,20466
SVRM,3,l_abs,1709540245,20570
SVRM,3,l_abs,1709540289,20847
SVRM,3,l_abs,1709540380,20878
SVRM,3,l_abs,1709540454,20892
SVRM,3,l_abs,1709540538,20901
SVRM,3,l_abs,1709540592,20901
SVRM,3,l_abs,1709540670,20902
SVRM,3,l_abs,1709540738,20904
SVRM,3,l_abs,1709540811,20904
SVRM,3,l_abs,1709540851,20909
SVRM,3,l_abs,1709540904,20909
SVRM,3,l_abs,1709541068,20909
SVRM,3,l_abs,1709541172,20909
SVRM,3,l_abs,1709541231,20909
SVRM,3,l_abs,1709541379,20917
SVRM,3,l_abs,1709541675,20917
SVRM,3,l_abs,1709541897,20917
SVRM,3,l_abs,1709542317,20917
SVRM,3,l_abs,1709542787,20919
SVRM,3,l_abs,1709543183,20919
SVRM,3,l_abs,1709543382,20919
SVRM,3,l_abs,1709543519,20920
SVRM,3,l_abs,1709543637,20921
SVRM,3,l_abs,1709543712,20924
SVRM,3,l_abs,1709543791,20960
SVRM,3,l_abs,1709544223,20961
SVRM,3,l_abs,1709544462,20961
SVRM,3,l_abs,1709544728,20968
SVRM,3,l_abs,1709545418,20968
SVRM,3,l_abs,1709546071,20968
SVRM,3,l_abs,1709546216,20972
SVRM,3,l_abs,1709546324,20975
SVRM,3,l_abs,1709546754,20977
SVRM,3,l_abs,1709547103,20987
SVRM,3,l_abs,1709547378,20987
