seed_type,run,scov_type,time,scov
Manual,4,node,1709539593,5
Manual,4,edge,1709539593,5
Manual,4,node,1709539597,6
Manual,4,edge,1709539597,6
Manual,4,node,1709539755,9
Manual,4,edge,1709539755,10
Manual,4,node,1709539937,10
Manual,4,edge,1709539937,11
Manual,4,node,1709540831,10
Manual,4,edge,1709540831,11
Manual,4,node,1709556914,10
Manual,4,edge,1709556914,12
Manual,4,node,1709556963,10
Manual,4,edge,1709556963,12
Manual,4,node,1709567141,10
Manual,4,edge,1709567141,13
Manual,4,node,1709569868,19
Manual,4,edge,1709569868,24
Manual,4,node,1709570236,19
Manual,4,edge,1709570236,24
Manual,4,node,1709575836,43
Manual,4,edge,1709575836,49
Manual,4,node,1709575936,45
Manual,4,edge,1709575936,51
Manual,4,node,1709579009,60
Manual,4,edge,1709579009,70
