seed_type,run,scov_type,time,scov
SVRM,4,node,1709539599,5
SVRM,4,edge,1709539599,5
SVRM,4,node,1709539601,6
SVRM,4,edge,1709539601,6
SVRM,4,node,1709539837,9
SVRM,4,edge,1709539837,10
SVRM,4,node,1709539896,10
SVRM,4,edge,1709539896,11
SVRM,4,node,1709541081,10
SVRM,4,edge,1709541081,11
SVRM,4,node,1709541812,11
SVRM,4,edge,1709541812,13
SVRM,4,node,1709543810,15
SVRM,4,edge,1709543810,17
SVRM,4,node,1709544208,15
SVRM,4,edge,1709544208,17
SVRM,4,node,1709544817,36
SVRM,4,edge,1709544817,38
SVRM,4,node,1709545929,47
SVRM,4,edge,1709545929,49
SVRM,4,node,1709546864,58
SVRM,4,edge,1709546864,60
SVRM,4,node,1709547433,73
SVRM,4,edge,1709547433,76
SVRM,4,node,1709547450,90
SVRM,4,edge,1709547450,93
SVRM,4,node,1709547454,91
SVRM,4,edge,1709547454,94
SVRM,4,node,1709548079,116
SVRM,4,edge,1709548079,119
SVRM,4,node,1709549587,134
SVRM,4,edge,1709549587,137
SVRM,4,node,1709550718,156
SVRM,4,edge,1709550718,160
SVRM,4,node,1709551282,163
SVRM,4,edge,1709551282,167
SVRM,4,node,1709552112,185
SVRM,4,edge,1709552112,189
SVRM,4,node,1709559596,202
SVRM,4,edge,1709559596,206
SVRM,4,node,1709565394,225
SVRM,4,edge,1709565394,230
SVRM,4,node,1709582261,248
SVRM,4,edge,1709582261,254
