seed_type,scov_type,time,scov
Manual,leaves_size,0,0.0
Manual,leaves_size,1,43.6
Manual,leaves_size,1001,497.6
Manual,leaves_size,2001,714.6
Manual,leaves_size,3001,883.2
Manual,leaves_size,4001,1059.6
Manual,leaves_size,5001,1224.0
Manual,leaves_size,6001,1346.8
Manual,leaves_size,7001,1460.6
Manual,leaves_size,8001,1562.4
Manual,leaves_size,9001,1660.4
Manual,leaves_size,10001,1754.8
Manual,leaves_size,11001,1847.8
Manual,leaves_size,12001,1923.8
Manual,leaves_size,13001,2006.2
Manual,leaves_size,14001,2095.0
Manual,leaves_size,15001,2160.4
Manual,leaves_size,16001,2239.4
Manual,leaves_size,17001,2303.6
Manual,leaves_size,18001,2383.8
Manual,leaves_size,19001,2456.8
Manual,leaves_size,20001,2522.6
Manual,leaves_size,21001,2581.8
Manual,leaves_size,22001,2649.4
Manual,leaves_size,23001,2719.6
Manual,leaves_size,24001,2777.0
Manual,leaves_size,25001,2841.6
Manual,leaves_size,26001,2914.8
Manual,leaves_size,27001,2976.6
Manual,leaves_size,28001,3054.4
Manual,leaves_size,29001,3117.2
Manual,leaves_size,30001,3184.2
Manual,leaves_size,31001,3263.0
Manual,leaves_size,32001,3332.6
Manual,leaves_size,33001,3403.2
Manual,leaves_size,34001,3479.0
Manual,leaves_size,35001,3539.2
Manual,leaves_size,36001,3620.6
Manual,leaves_size,37001,3672.8
Manual,leaves_size,38001,3746.8
Manual,leaves_size,39001,3843.4
Manual,leaves_size,40001,3936.8
Manual,leaves_size,41001,4021.6
Manual,leaves_size,42001,4112.6
Manual,leaves_size,43001,4270.0
Manual,SM_num,0,0.0
Manual,SM_num,1,271.0
Manual,SM_num,1001,2435.2
Manual,SM_num,2001,3406.2
Manual,SM_num,3001,4146.4
Manual,SM_num,4001,4972.2
Manual,SM_num,5001,5718.0
Manual,SM_num,6001,6345.6
Manual,SM_num,7001,6917.0
Manual,SM_num,8001,7457.2
Manual,SM_num,9001,7966.8
Manual,SM_num,10001,8463.4
Manual,SM_num,11001,8962.0
Manual,SM_num,12001,9398.2
Manual,SM_num,13001,9867.0
Manual,SM_num,14001,10396.2
Manual,SM_num,15001,10794.4
Manual,SM_num,16001,11266.2
Manual,SM_num,17001,11644.0
Manual,SM_num,18001,12114.4
Manual,SM_num,19001,12540.0
Manual,SM_num,20001,12929.2
Manual,SM_num,21001,13276.6
Manual,SM_num,22001,13691.2
Manual,SM_num,23001,14089.6
Manual,SM_num,24001,14434.6
Manual,SM_num,25001,14797.4
Manual,SM_num,26001,15210.2
Manual,SM_num,27001,15560.0
Manual,SM_num,28001,15994.4
Manual,SM_num,29001,16362.8
Manual,SM_num,30001,16752.0
Manual,SM_num,31001,17208.2
Manual,SM_num,32001,17592.4
Manual,SM_num,33001,17976.4
Manual,SM_num,34001,18411.6
Manual,SM_num,35001,18737.6
Manual,SM_num,36001,19177.4
Manual,SM_num,37001,19468.0
