seed_type,scov_type,time,scov
Manual,leaves_size,0,0.0
Manual,leaves_size,1,62.0
Manual,leaves_size,1001,1537.0
Manual,leaves_size,2001,2382.0
Manual,leaves_size,3001,2996.0
Manual,leaves_size,4001,3681.0
Manual,leaves_size,5001,4311.0
Manual,leaves_size,6001,4746.0
Manual,leaves_size,7001,5187.0
Manual,leaves_size,8001,5549.0
Manual,leaves_size,9001,5891.0
Manual,leaves_size,10001,6219.0
Manual,leaves_size,11001,6554.0
Manual,leaves_size,12001,6831.0
Manual,leaves_size,13001,7136.0
Manual,leaves_size,14001,7474.0
Manual,leaves_size,15001,7680.0
Manual,leaves_size,16001,7988.0
Manual,leaves_size,17001,8212.0
Manual,leaves_size,18001,8515.0
Manual,leaves_size,19001,8740.0
Manual,leaves_size,20001,8964.0
Manual,leaves_size,21001,9171.0
Manual,leaves_size,22001,9408.0
Manual,leaves_size,23001,9649.0
Manual,leaves_size,24001,9848.0
Manual,leaves_size,25001,10044.0
Manual,leaves_size,26001,10248.0
Manual,leaves_size,27001,10456.0
Manual,leaves_size,28001,10711.0
Manual,leaves_size,29001,10938.0
Manual,leaves_size,30001,11155.0
Manual,leaves_size,31001,11399.0
Manual,leaves_size,32001,11605.0
Manual,leaves_size,33001,11793.0
Manual,leaves_size,34001,12037.0
Manual,leaves_size,35001,12209.0
Manual,leaves_size,36001,12411.0
Manual,leaves_size,37001,12583.0
Manual,leaves_size,38001,12807.0
Manual,leaves_size,39001,13005.0
Manual,leaves_size,40001,13219.0
Manual,leaves_size,41001,13442.0
Manual,leaves_size,42001,13673.0
Manual,leaves_size,43001,13869.0
Manual,SM_num,0,0.0
Manual,SM_num,1,333.0
Manual,SM_num,1001,7443.0
Manual,SM_num,2001,11236.0
Manual,SM_num,3001,13991.0
Manual,SM_num,4001,17278.0
Manual,SM_num,5001,20201.0
Manual,SM_num,6001,22474.0
Manual,SM_num,7001,24781.0
Manual,SM_num,8001,26855.0
Manual,SM_num,9001,28786.0
Manual,SM_num,10001,30682.0
Manual,SM_num,11001,32579.0
Manual,SM_num,12001,34324.0
Manual,SM_num,13001,36175.0
Manual,SM_num,14001,38317.0
Manual,SM_num,15001,39733.0
Manual,SM_num,16001,41682.0
Manual,SM_num,17001,43111.0
Manual,SM_num,18001,44992.0
Manual,SM_num,19001,46437.0
Manual,SM_num,20001,47856.0
Manual,SM_num,21001,49182.0
Manual,SM_num,22001,50803.0
Manual,SM_num,23001,52318.0
Manual,SM_num,24001,53641.0
Manual,SM_num,25001,54869.0
Manual,SM_num,26001,56256.0
Manual,SM_num,27001,57548.0
Manual,SM_num,28001,59189.0
Manual,SM_num,29001,60609.0
Manual,SM_num,30001,62030.0
Manual,SM_num,31001,63634.0
Manual,SM_num,32001,64955.0
Manual,SM_num,33001,66112.0
Manual,SM_num,34001,67738.0
Manual,SM_num,35001,68848.0
Manual,SM_num,36001,70121.0
Manual,SM_num,37001,71168.0
