seed_type,scov_type,time,scov
Manual,leaves_size,0,0.0
Manual,leaves_size,1,31.0
Manual,leaves_size,1001,163.0
Manual,leaves_size,2001,181.0
Manual,leaves_size,3001,195.0
Manual,leaves_size,4001,202.0
Manual,leaves_size,5001,219.0
Manual,leaves_size,6001,232.0
Manual,leaves_size,7001,235.0
Manual,leaves_size,8001,243.0
Manual,leaves_size,9001,255.0
Manual,leaves_size,10001,277.0
Manual,leaves_size,11001,289.0
Manual,leaves_size,12001,305.0
Manual,leaves_size,13001,315.0
Manual,leaves_size,14001,324.0
Manual,leaves_size,15001,338.0
Manual,leaves_size,16001,352.0
Manual,leaves_size,17001,369.0
Manual,leaves_size,18001,379.0
Manual,leaves_size,19001,408.0
Manual,leaves_size,20001,421.0
Manual,leaves_size,21001,442.0
Manual,leaves_size,22001,468.0
Manual,leaves_size,23001,495.0
Manual,leaves_size,24001,515.0
Manual,leaves_size,25001,520.0
Manual,leaves_size,26001,541.0
Manual,leaves_size,27001,566.0
Manual,leaves_size,28001,581.0
Manual,leaves_size,29001,600.0
Manual,leaves_size,30001,628.0
Manual,leaves_size,31001,640.0
Manual,leaves_size,32001,653.0
Manual,leaves_size,33001,675.0
Manual,leaves_size,34001,696.0
Manual,leaves_size,35001,705.0
Manual,leaves_size,36001,724.0
Manual,leaves_size,37001,741.0
Manual,leaves_size,38001,756.0
Manual,leaves_size,39001,770.0
Manual,leaves_size,40001,781.0
Manual,leaves_size,41001,795.0
Manual,leaves_size,42001,806.0
Manual,leaves_size,43001,827.0
Manual,SM_num,0,0.0
Manual,SM_num,1,206.0
Manual,SM_num,1001,947.0
Manual,SM_num,2001,1047.0
Manual,SM_num,3001,1102.0
Manual,SM_num,4001,1130.0
Manual,SM_num,5001,1202.0
Manual,SM_num,6001,1294.0
Manual,SM_num,7001,1299.0
Manual,SM_num,8001,1344.0
Manual,SM_num,9001,1408.0
Manual,SM_num,10001,1497.0
Manual,SM_num,11001,1566.0
Manual,SM_num,12001,1643.0
Manual,SM_num,13001,1698.0
Manual,SM_num,14001,1729.0
Manual,SM_num,15001,1781.0
Manual,SM_num,16001,1865.0
Manual,SM_num,17001,1964.0
Manual,SM_num,18001,2006.0
Manual,SM_num,19001,2183.0
Manual,SM_num,20001,2251.0
Manual,SM_num,21001,2365.0
Manual,SM_num,22001,2488.0
Manual,SM_num,23001,2614.0
Manual,SM_num,24001,2702.0
Manual,SM_num,25001,2732.0
Manual,SM_num,26001,2834.0
Manual,SM_num,27001,2954.0
Manual,SM_num,28001,3015.0
Manual,SM_num,29001,3111.0
Manual,SM_num,30001,3243.0
Manual,SM_num,31001,3307.0
Manual,SM_num,32001,3350.0
Manual,SM_num,33001,3433.0
Manual,SM_num,34001,3514.0
Manual,SM_num,35001,3548.0
Manual,SM_num,36001,3633.0
Manual,SM_num,37001,3703.0
Manual,SM_num,38001,3768.0
Manual,SM_num,39001,3839.0
Manual,SM_num,40001,3890.0
Manual,SM_num,41001,3949.0
Manual,SM_num,42001,3992.0
Manual,SM_num,43001,4072.0
Manual,TPC_cov,0,0.0
Manual,TPC_cov,1,1293.0
Manual,TPC_cov,1001,1435.0
Manual,TPC_cov,2001,1461.0
Manual,TPC_cov,3001,1479.0
Manual,TPC_cov,4001,1481.0
Manual,TPC_cov,5001,1484.0
Manual,TPC_cov,6001,1516.0
Manual,TPC_cov,7001,1526.0
Manual,TPC_cov,8001,1546.0
Manual,TPC_cov,9001,1550.0
Manual,TPC_cov,10001,1557.0
Manual,TPC_cov,11001,1568.0
Manual,TPC_cov,12001,1569.0
Manual,TPC_cov,13001,1570.0
Manual,TPC_cov,14001,1570.0
Manual,TPC_cov,15001,1580.0
Manual,TPC_cov,16001,1580.0
Manual,TPC_cov,17001,1581.0
Manual,TPC_cov,18001,1581.0
Manual,TPC_cov,19001,1581.0
Manual,TPC_cov,20001,1585.0
Manual,TPC_cov,21001,1586.0
Manual,TPC_cov,22001,1587.0
Manual,TPC_cov,23001,1587.0
Manual,TPC_cov,24001,1587.0
Manual,TPC_cov,25001,1587.0
Manual,TPC_cov,26001,1587.0
Manual,TPC_cov,27001,1587.0
Manual,TPC_cov,28001,1587.0
Manual,TPC_cov,29001,1588.0
Manual,TPC_cov,30001,1588.0
Manual,TPC_cov,31001,1588.0
Manual,TPC_cov,32001,1588.0
Manual,TPC_cov,33001,1588.0
Manual,TPC_cov,34001,1588.0
Manual,TPC_cov,35001,1588.0
Manual,TPC_cov,36001,1589.0
Manual,TPC_cov,37001,1590.0
Manual,TPC_cov,38001,1590.0
Manual,TPC_cov,39001,1590.0
Manual,TPC_cov,40001,1590.0
Manual,TPC_cov,41001,1590.0
Manual,TPC_cov,42001,1606.0
Manual,TPC_cov,43001,1607.0
SVRM,leaves_size,0,0.0
SVRM,leaves_size,1,18.0
SVRM,leaves_size,1001,172.0
SVRM,leaves_size,2001,230.0
SVRM,leaves_size,3001,254.0
SVRM,leaves_size,4001,280.0
SVRM,leaves_size,5001,293.0
SVRM,leaves_size,6001,304.0
SVRM,leaves_size,7001,317.0
SVRM,leaves_size,8001,324.0
SVRM,leaves_size,9001,338.0
SVRM,leaves_size,10001,356.0
SVRM,leaves_size,11001,366.0
SVRM,leaves_size,12001,382.0
SVRM,leaves_size,13001,391.0
SVRM,leaves_size,14001,407.0
SVRM,leaves_size,15001,416.0
SVRM,leaves_size,16001,428.0
SVRM,leaves_size,17001,437.0
SVRM,leaves_size,18001,450.0
SVRM,leaves_size,19001,456.0
SVRM,leaves_size,20001,463.0
SVRM,leaves_size,21001,469.0
SVRM,leaves_size,22001,483.0
SVRM,leaves_size,23001,493.0
SVRM,leaves_size,24001,513.0
SVRM,leaves_size,25001,523.0
SVRM,leaves_size,26001,534.0
SVRM,leaves_size,27001,545.0
SVRM,leaves_size,28001,554.0
SVRM,leaves_size,29001,563.0
SVRM,leaves_size,30001,572.0
SVRM,leaves_size,31001,583.0
SVRM,leaves_size,32001,602.0
SVRM,leaves_size,33001,621.0
SVRM,leaves_size,34001,635.0
SVRM,leaves_size,35001,662.0
SVRM,leaves_size,36001,688.0
SVRM,leaves_size,37001,705.0
SVRM,leaves_size,38001,729.0
SVRM,leaves_size,39001,745.0
SVRM,leaves_size,40001,757.0
SVRM,leaves_size,41001,776.0
SVRM,leaves_size,42001,803.0
SVRM,leaves_size,43001,819.0
SVRM,SM_num,0,0.0
SVRM,SM_num,1,143.0
