seed_type,run,scov_type,time,scov
Manual,4,leaves_size,1701500904,1
Manual,4,SM_num,1701500904,15
Manual,4,TPC_cov,1701500904,1001
Manual,4,leaves_size,1701500904,1
Manual,4,SM_num,1701500904,15
Manual,4,TPC_cov,1701500904,987
Manual,4,leaves_size,1701500904,2
Manual,4,SM_num,1701500904,20
Manual,4,TPC_cov,1701500904,1213
Manual,4,leaves_size,1701500904,2
Manual,4,SM_num,1701500904,20
Manual,4,TPC_cov,1701500904,1217
Manual,4,leaves_size,1701500904,2
Manual,4,SM_num,1701500904,20
Manual,4,TPC_cov,1701500904,1231
Manual,4,leaves_size,1701500904,2
Manual,4,SM_num,1701500904,20
Manual,4,TPC_cov,1701500904,1236
Manual,4,leaves_size,1701500904,2
Manual,4,SM_num,1701500904,20
Manual,4,TPC_cov,1701500904,1239
Manual,4,leaves_size,1701500904,2
Manual,4,SM_num,1701500904,20
Manual,4,TPC_cov,1701500904,1243
Manual,4,leaves_size,1701500904,3
Manual,4,SM_num,1701500904,32
Manual,4,TPC_cov,1701500904,1261
Manual,4,leaves_size,1701500904,3
Manual,4,SM_num,1701500904,32
Manual,4,TPC_cov,1701500904,1261
Manual,4,leaves_size,1701500904,3
Manual,4,SM_num,1701500904,32
Manual,4,TPC_cov,1701500904,1265
Manual,4,leaves_size,1701500904,6
Manual,4,SM_num,1701500904,60
Manual,4,TPC_cov,1701500904,1269
Manual,4,leaves_size,1701500904,9
Manual,4,SM_num,1701500904,75
Manual,4,TPC_cov,1701500904,1278
Manual,4,leaves_size,1701500904,9
Manual,4,SM_num,1701500904,75
Manual,4,TPC_cov,1701500904,1278
Manual,4,leaves_size,1701500904,10
Manual,4,SM_num,1701500904,80
Manual,4,TPC_cov,1701500904,1278
Manual,4,leaves_size,1701500904,2
Manual,4,SM_num,1701500904,20
Manual,4,TPC_cov,1701500904,1191
Manual,4,leaves_size,1701500904,2
Manual,4,SM_num,1701500904,20
Manual,4,TPC_cov,1701500904,1200
Manual,4,leaves_size,1701500904,2
Manual,4,SM_num,1701500904,20
Manual,4,TPC_cov,1701500904,1233
Manual,4,leaves_size,1701500904,2
Manual,4,SM_num,1701500904,20
Manual,4,TPC_cov,1701500904,1239
Manual,4,leaves_size,1701500904,2
Manual,4,SM_num,1701500904,20
Manual,4,TPC_cov,1701500904,1239
Manual,4,leaves_size,1701500904,3
Manual,4,SM_num,1701500904,30
Manual,4,TPC_cov,1701500904,1258
Manual,4,leaves_size,1701500904,3
Manual,4,SM_num,1701500904,32
Manual,4,TPC_cov,1701500904,1261
Manual,4,leaves_size,1701500904,3
Manual,4,SM_num,1701500904,32
Manual,4,TPC_cov,1701500904,1263
Manual,4,leaves_size,1701500904,6
Manual,4,SM_num,1701500904,65
Manual,4,TPC_cov,1701500904,1271
Manual,4,leaves_size,1701500904,10
Manual,4,SM_num,1701500904,80
Manual,4,TPC_cov,1701500904,1278
Manual,4,leaves_size,1701500904,4
Manual,4,SM_num,1701500904,43
Manual,4,TPC_cov,1701500904,1265
Manual,4,leaves_size,1701500904,5
Manual,4,SM_num,1701500904,53
Manual,4,TPC_cov,1701500904,1269
Manual,4,leaves_size,1701500904,7
Manual,4,SM_num,1701500904,68
Manual,4,TPC_cov,1701500904,1272
Manual,4,leaves_size,1701500904,9
Manual,4,SM_num,1701500904,75
Manual,4,TPC_cov,1701500904,1274
Manual,4,leaves_size,1701500904,3
Manual,4,SM_num,1701500904,32
Manual,4,TPC_cov,1701500904,1261
Manual,4,leaves_size,1701500904,6
Manual,4,SM_num,1701500904,65
Manual,4,TPC_cov,1701500904,1269
Manual,4,leaves_size,1701500904,8
Manual,4,SM_num,1701500904,69
Manual,4,TPC_cov,1701500904,1272
Manual,4,leaves_size,1701500904,5
Manual,4,SM_num,1701500904,45
Manual,4,TPC_cov,1701500904,1269
Manual,4,leaves_size,1701500904,9
Manual,4,SM_num,1701500904,75
Manual,4,TPC_cov,1701500904,1278
Manual,4,leaves_size,1701500904,6
Manual,4,SM_num,1701500904,60
Manual,4,TPC_cov,1701500904,1269
Manual,4,leaves_size,1701500904,3
Manual,4,SM_num,1701500904,28
Manual,4,TPC_cov,1701500904,1256
Manual,4,leaves_size,1701500904,7
Manual,4,SM_num,1701500904,67
Manual,4,TPC_cov,1701500904,1271
Manual,4,leaves_size,1701500905,39
Manual,4,SM_num,1701500905,309
Manual,4,TPC_cov,1701500905,1294
Manual,4,leaves_size,1701500905,43
