seed_type,scov_type,time,scov
Manual,leaves_size,0,0.0
Manual,leaves_size,1,8.6
Manual,leaves_size,1001,23.6
Manual,leaves_size,2001,26.6
Manual,leaves_size,3001,28.6
Manual,leaves_size,4001,32.6
Manual,leaves_size,5001,33.4
Manual,leaves_size,6001,34.8
Manual,leaves_size,7001,36.4
Manual,leaves_size,8001,37.2
Manual,leaves_size,9001,37.6
Manual,leaves_size,10001,38.4
Manual,leaves_size,11001,39.8
Manual,leaves_size,12001,41.0
Manual,leaves_size,13001,42.0
Manual,leaves_size,14001,42.8
Manual,leaves_size,15001,43.8
Manual,leaves_size,16001,44.6
Manual,leaves_size,17001,45.2
Manual,leaves_size,18001,46.0
Manual,leaves_size,19001,46.8
Manual,leaves_size,20001,47.6
Manual,leaves_size,21001,47.6
Manual,leaves_size,22001,49.2
Manual,leaves_size,23001,50.6
Manual,leaves_size,24001,51.2
Manual,leaves_size,25001,51.4
Manual,leaves_size,26001,52.2
Manual,leaves_size,27001,52.2
Manual,leaves_size,28001,52.6
Manual,leaves_size,29001,53.4
Manual,leaves_size,30001,54.6
Manual,leaves_size,31001,55.2
Manual,leaves_size,32001,56.4
Manual,leaves_size,33001,57.0
Manual,leaves_size,34001,57.4
Manual,leaves_size,35001,57.8
Manual,leaves_size,36001,58.0
Manual,leaves_size,37001,58.4
Manual,leaves_size,38001,58.8
Manual,leaves_size,39001,59.6
Manual,leaves_size,40001,60.2
Manual,leaves_size,41001,60.8
Manual,leaves_size,42001,61.2
Manual,leaves_size,43001,62.2
Manual,SM_num,0,0.0
Manual,SM_num,1,236.6
Manual,SM_num,1001,604.8
Manual,SM_num,2001,659.6
Manual,SM_num,3001,701.8
Manual,SM_num,4001,794.4
Manual,SM_num,5001,814.8
Manual,SM_num,6001,836.4
Manual,SM_num,7001,871.2
Manual,SM_num,8001,911.2
Manual,SM_num,9001,913.2
Manual,SM_num,10001,926.0
Manual,SM_num,11001,944.6
Manual,SM_num,12001,981.4
Manual,SM_num,13001,993.8
Manual,SM_num,14001,1006.4
Manual,SM_num,15001,1042.8
Manual,SM_num,16001,1054.8
Manual,SM_num,17001,1062.2
Manual,SM_num,18001,1087.6
Manual,SM_num,19001,1109.6
Manual,SM_num,20001,1123.4
Manual,SM_num,21001,1123.4
Manual,SM_num,22001,1158.8
Manual,SM_num,23001,1180.0
Manual,SM_num,24001,1187.6
Manual,SM_num,25001,1188.4
Manual,SM_num,26001,1218.0
Manual,SM_num,27001,1218.0
Manual,SM_num,28001,1228.6
Manual,SM_num,29001,1249.2
Manual,SM_num,30001,1275.4
Manual,SM_num,31001,1296.4
Manual,SM_num,32001,1314.2
Manual,SM_num,33001,1323.0
Manual,SM_num,34001,1335.0
Manual,SM_num,35001,1345.2
Manual,SM_num,36001,1351.8
Manual,SM_num,37001,1364.8
Manual,SM_num,38001,1370.6
Manual,SM_num,39001,1395.0
Manual,SM_num,40001,1405.2
Manual,SM_num,41001,1422.6
Manual,SM_num,42001,1438.0
Manual,SM_num,43001,1456.0
Manual,TPC_cov,0,0.0
Manual,TPC_cov,1,4973.2
Manual,TPC_cov,1001,6045.0
Manual,TPC_cov,2001,6189.4
Manual,TPC_cov,3001,6258.6
Manual,TPC_cov,4001,6391.0
Manual,TPC_cov,5001,6402.8
Manual,TPC_cov,6001,6449.4
Manual,TPC_cov,7001,6451.6
Manual,TPC_cov,8001,6460.4
Manual,TPC_cov,9001,6474.4
Manual,TPC_cov,10001,6476.4
Manual,TPC_cov,11001,6482.0
Manual,TPC_cov,12001,6487.6
Manual,TPC_cov,13001,6501.0
Manual,TPC_cov,14001,6501.6
Manual,TPC_cov,15001,6507.6
Manual,TPC_cov,16001,6518.2
Manual,TPC_cov,17001,6531.6
Manual,TPC_cov,18001,6543.4
Manual,TPC_cov,19001,6544.0
Manual,TPC_cov,20001,6548.0
Manual,TPC_cov,21001,6554.8
Manual,TPC_cov,22001,6562.0
Manual,TPC_cov,23001,6566.4
Manual,TPC_cov,24001,6569.6
Manual,TPC_cov,25001,6572.2
Manual,TPC_cov,26001,6573.0
Manual,TPC_cov,27001,6574.2
Manual,TPC_cov,28001,6590.6
Manual,TPC_cov,29001,6595.0
Manual,TPC_cov,30001,6598.0
Manual,TPC_cov,31001,6599.2
Manual,TPC_cov,32001,6602.8
Manual,TPC_cov,33001,6618.8
Manual,TPC_cov,34001,6620.0
Manual,TPC_cov,35001,6621.8
Manual,TPC_cov,36001,6625.6
Manual,TPC_cov,37001,6634.4
Manual,TPC_cov,38001,6634.8
Manual,TPC_cov,39001,6636.4
Manual,TPC_cov,40001,6638.6
Manual,TPC_cov,41001,6642.2
Manual,TPC_cov,42001,6644.0
Manual,TPC_cov,43001,6648.6
SVRM,leaves_size,0,0.0
SVRM,leaves_size,1,12.6
SVRM,leaves_size,1001,44.4
SVRM,leaves_size,2001,61.0
SVRM,leaves_size,3001,74.0
SVRM,leaves_size,4001,83.2
SVRM,leaves_size,5001,93.0
SVRM,leaves_size,6001,99.0
SVRM,leaves_size,7001,107.2
SVRM,leaves_size,8001,116.6
SVRM,leaves_size,9001,136.0
SVRM,leaves_size,10001,136.0
