seed_type,scov_type,time,scov
Manual,leaves_size,0,0.0
Manual,leaves_size,1,9.0
Manual,leaves_size,1001,25.0
Manual,leaves_size,2001,31.0
Manual,leaves_size,3001,32.0
Manual,leaves_size,4001,36.0
Manual,leaves_size,5001,38.0
Manual,leaves_size,6001,38.0
Manual,leaves_size,7001,40.0
Manual,leaves_size,8001,41.0
Manual,leaves_size,9001,42.0
Manual,leaves_size,10001,43.0
Manual,leaves_size,11001,46.0
Manual,leaves_size,12001,46.0
Manual,leaves_size,13001,47.0
Manual,leaves_size,14001,47.0
Manual,leaves_size,15001,48.0
Manual,leaves_size,16001,50.0
Manual,leaves_size,17001,51.0
Manual,leaves_size,18001,53.0
Manual,leaves_size,19001,54.0
Manual,leaves_size,20001,55.0
Manual,leaves_size,21001,55.0
Manual,leaves_size,22001,58.0
Manual,leaves_size,23001,59.0
Manual,leaves_size,24001,60.0
Manual,leaves_size,25001,60.0
Manual,leaves_size,26001,61.0
Manual,leaves_size,27001,61.0
Manual,leaves_size,28001,62.0
Manual,leaves_size,29001,63.0
Manual,leaves_size,30001,66.0
Manual,leaves_size,31001,66.0
Manual,leaves_size,32001,68.0
Manual,leaves_size,33001,69.0
Manual,leaves_size,34001,70.0
Manual,leaves_size,35001,70.0
Manual,leaves_size,36001,70.0
Manual,leaves_size,37001,71.0
Manual,leaves_size,38001,72.0
Manual,leaves_size,39001,73.0
Manual,leaves_size,40001,74.0
Manual,leaves_size,41001,75.0
Manual,leaves_size,42001,75.0
Manual,leaves_size,43001,75.0
Manual,SM_num,0,0.0
Manual,SM_num,1,253.0
Manual,SM_num,1001,675.0
Manual,SM_num,2001,740.0
Manual,SM_num,3001,741.0
Manual,SM_num,4001,870.0
Manual,SM_num,5001,904.0
Manual,SM_num,6001,904.0
Manual,SM_num,7001,939.0
Manual,SM_num,8001,997.0
Manual,SM_num,9001,1003.0
Manual,SM_num,10001,1036.0
Manual,SM_num,11001,1048.0
Manual,SM_num,12001,1055.0
Manual,SM_num,13001,1055.0
Manual,SM_num,14001,1072.0
Manual,SM_num,15001,1106.0
Manual,SM_num,16001,1158.0
Manual,SM_num,17001,1159.0
Manual,SM_num,18001,1187.0
Manual,SM_num,19001,1229.0
Manual,SM_num,20001,1256.0
Manual,SM_num,21001,1256.0
Manual,SM_num,22001,1270.0
Manual,SM_num,23001,1301.0
Manual,SM_num,24001,1318.0
Manual,SM_num,25001,1318.0
Manual,SM_num,26001,1348.0
Manual,SM_num,27001,1348.0
Manual,SM_num,28001,1368.0
Manual,SM_num,29001,1407.0
Manual,SM_num,30001,1464.0
Manual,SM_num,31001,1464.0
Manual,SM_num,32001,1498.0
Manual,SM_num,33001,1508.0
Manual,SM_num,34001,1518.0
Manual,SM_num,35001,1518.0
Manual,SM_num,36001,1518.0
Manual,SM_num,37001,1576.0
Manual,SM_num,38001,1595.0
Manual,SM_num,39001,1615.0
Manual,SM_num,40001,1632.0
Manual,SM_num,41001,1679.0
Manual,SM_num,42001,1679.0
Manual,SM_num,43001,1679.0
Manual,TPC_cov,0,0.0
Manual,TPC_cov,1,5012.0
Manual,TPC_cov,1001,6082.0
Manual,TPC_cov,2001,6354.0
Manual,TPC_cov,3001,6402.0
Manual,TPC_cov,4001,6519.0
Manual,TPC_cov,5001,6523.0
Manual,TPC_cov,6001,6534.0
Manual,TPC_cov,7001,6537.0
Manual,TPC_cov,8001,6537.0
Manual,TPC_cov,9001,6538.0
Manual,TPC_cov,10001,6540.0
Manual,TPC_cov,11001,6550.0
Manual,TPC_cov,12001,6556.0
Manual,TPC_cov,13001,6574.0
Manual,TPC_cov,14001,6574.0
Manual,TPC_cov,15001,6577.0
Manual,TPC_cov,16001,6602.0
Manual,TPC_cov,17001,6647.0
Manual,TPC_cov,18001,6659.0
Manual,TPC_cov,19001,6660.0
Manual,TPC_cov,20001,6664.0
Manual,TPC_cov,21001,6664.0
Manual,TPC_cov,22001,6668.0
Manual,TPC_cov,23001,6669.0
Manual,TPC_cov,24001,6678.0
Manual,TPC_cov,25001,6679.0
Manual,TPC_cov,26001,6679.0
Manual,TPC_cov,27001,6680.0
