seed_type,scov_type,time,scov
Manual,leaves_size,0,0.0
Manual,leaves_size,1,8.0
Manual,leaves_size,1001,22.0
Manual,leaves_size,2001,23.0
Manual,leaves_size,3001,27.0
Manual,leaves_size,4001,30.0
Manual,leaves_size,5001,30.0
Manual,leaves_size,6001,32.0
Manual,leaves_size,7001,32.0
Manual,leaves_size,8001,33.0
Manual,leaves_size,9001,33.0
Manual,leaves_size,10001,33.0
Manual,leaves_size,11001,34.0
Manual,leaves_size,12001,35.0
Manual,leaves_size,13001,37.0
Manual,leaves_size,14001,37.0
Manual,leaves_size,15001,37.0
Manual,leaves_size,16001,38.0
Manual,leaves_size,17001,38.0
Manual,leaves_size,18001,38.0
Manual,leaves_size,19001,38.0
Manual,leaves_size,20001,39.0
Manual,leaves_size,21001,39.0
Manual,leaves_size,22001,39.0
Manual,leaves_size,23001,39.0
Manual,leaves_size,24001,39.0
Manual,leaves_size,25001,39.0
Manual,leaves_size,26001,39.0
Manual,leaves_size,27001,39.0
Manual,leaves_size,28001,40.0
Manual,leaves_size,29001,40.0
Manual,leaves_size,30001,40.0
Manual,leaves_size,31001,42.0
Manual,leaves_size,32001,42.0
Manual,leaves_size,33001,42.0
Manual,leaves_size,34001,42.0
Manual,leaves_size,35001,42.0
Manual,leaves_size,36001,42.0
Manual,leaves_size,37001,42.0
Manual,leaves_size,38001,42.0
Manual,leaves_size,39001,42.0
Manual,leaves_size,40001,42.0
Manual,leaves_size,41001,42.0
Manual,leaves_size,42001,43.0
Manual,leaves_size,43001,43.0
Manual,SM_num,0,0.0
Manual,SM_num,1,224.0
Manual,SM_num,1001,513.0
Manual,SM_num,2001,549.0
Manual,SM_num,3001,637.0
Manual,SM_num,4001,722.0
Manual,SM_num,5001,744.0
Manual,SM_num,6001,778.0
Manual,SM_num,7001,778.0
Manual,SM_num,8001,830.0
Manual,SM_num,9001,830.0
Manual,SM_num,10001,830.0
Manual,SM_num,11001,837.0
Manual,SM_num,12001,886.0
Manual,SM_num,13001,938.0
Manual,SM_num,14001,960.0
Manual,SM_num,15001,960.0
Manual,SM_num,16001,967.0
Manual,SM_num,17001,967.0
Manual,SM_num,18001,967.0
Manual,SM_num,19001,967.0
Manual,SM_num,20001,974.0
Manual,SM_num,21001,974.0
Manual,SM_num,22001,974.0
Manual,SM_num,23001,974.0
Manual,SM_num,24001,974.0
Manual,SM_num,25001,974.0
Manual,SM_num,26001,974.0
Manual,SM_num,27001,974.0
Manual,SM_num,28001,1007.0
Manual,SM_num,29001,1007.0
Manual,SM_num,30001,1007.0
Manual,SM_num,31001,1063.0
Manual,SM_num,32001,1063.0
Manual,SM_num,33001,1063.0
Manual,SM_num,34001,1063.0
Manual,SM_num,35001,1063.0
Manual,SM_num,36001,1063.0
Manual,SM_num,37001,1063.0
Manual,SM_num,38001,1063.0
Manual,SM_num,39001,1063.0
Manual,SM_num,40001,1063.0
Manual,SM_num,41001,1063.0
Manual,SM_num,42001,1121.0
Manual,SM_num,43001,1121.0
Manual,TPC_cov,0,0.0
Manual,TPC_cov,1,4917.0
Manual,TPC_cov,1001,6004.0
Manual,TPC_cov,2001,6076.0
Manual,TPC_cov,3001,6083.0
Manual,TPC_cov,4001,6270.0
Manual,TPC_cov,5001,6289.0
Manual,TPC_cov,6001,6328.0
Manual,TPC_cov,7001,6328.0
Manual,TPC_cov,8001,6342.0
Manual,TPC_cov,9001,6400.0
Manual,TPC_cov,10001,6403.0
Manual,TPC_cov,11001,6406.0
Manual,TPC_cov,12001,6406.0
