seed_type,run,scov_type,time,scov
SVRM,1,leaves_size,1700192045,3
SVRM,1,SM_num,1700192045,133
SVRM,1,TPC_cov,1700192045,4343
SVRM,1,leaves_size,1700192045,4
SVRM,1,SM_num,1700192045,150
SVRM,1,TPC_cov,1700192045,4362
SVRM,1,leaves_size,1700192045,7
SVRM,1,SM_num,1700192045,204
SVRM,1,TPC_cov,1700192045,4387
SVRM,1,leaves_size,1700192045,8
SVRM,1,SM_num,1700192045,221
SVRM,1,TPC_cov,1700192045,4423
SVRM,1,leaves_size,1700192045,8
SVRM,1,SM_num,1700192045,221
SVRM,1,TPC_cov,1700192045,4429
SVRM,1,leaves_size,1700192045,8
SVRM,1,SM_num,1700192045,221
SVRM,1,TPC_cov,1700192045,4440
SVRM,1,leaves_size,1700192045,7
SVRM,1,SM_num,1700192045,204
SVRM,1,TPC_cov,1700192045,4387
SVRM,1,leaves_size,1700192045,4
SVRM,1,SM_num,1700192045,150
SVRM,1,TPC_cov,1700192045,4355
SVRM,1,leaves_size,1700192045,4
SVRM,1,SM_num,1700192045,150
SVRM,1,TPC_cov,1700192045,4359
SVRM,1,leaves_size,1700192045,4
SVRM,1,SM_num,1700192045,150
SVRM,1,TPC_cov,1700192045,4361
SVRM,1,leaves_size,1700192045,4
SVRM,1,SM_num,1700192045,150
SVRM,1,TPC_cov,1700192045,4361
SVRM,1,leaves_size,1700192045,4
SVRM,1,SM_num,1700192045,150
SVRM,1,TPC_cov,1700192045,4362
SVRM,1,leaves_size,1700192045,4
SVRM,1,SM_num,1700192045,150
SVRM,1,TPC_cov,1700192045,4364
SVRM,1,leaves_size,1700192045,4
SVRM,1,SM_num,1700192045,150
SVRM,1,TPC_cov,1700192045,4364
SVRM,1,leaves_size,1700192045,4
SVRM,1,SM_num,1700192045,150
SVRM,1,TPC_cov,1700192045,4366
SVRM,1,leaves_size,1700192045,6
SVRM,1,SM_num,1700192045,187
SVRM,1,TPC_cov,1700192045,4384
SVRM,1,leaves_size,1700192045,6
SVRM,1,SM_num,1700192045,187
SVRM,1,TPC_cov,1700192045,4384
SVRM,1,leaves_size,1700192045,6
SVRM,1,SM_num,1700192045,187
SVRM,1,TPC_cov,1700192045,4386
SVRM,1,leaves_size,1700192045,6
SVRM,1,SM_num,1700192045,187
SVRM,1,TPC_cov,1700192045,4386
SVRM,1,leaves_size,1700192045,6
SVRM,1,SM_num,1700192045,187
SVRM,1,TPC_cov,1700192045,4386
SVRM,1,leaves_size,1700192045,8
SVRM,1,SM_num,1700192045,221
SVRM,1,TPC_cov,1700192045,4407
SVRM,1,leaves_size,1700192045,8
SVRM,1,SM_num,1700192045,221
SVRM,1,TPC_cov,1700192045,4407
SVRM,1,leaves_size,1700192045,8
SVRM,1,SM_num,1700192045,221
SVRM,1,TPC_cov,1700192045,4410
SVRM,1,leaves_size,1700192045,8
SVRM,1,SM_num,1700192045,221
SVRM,1,TPC_cov,1700192045,4419
SVRM,1,leaves_size,1700192045,8
SVRM,1,SM_num,1700192045,221
SVRM,1,TPC_cov,1700192045,4430
SVRM,1,leaves_size,1700192045,8
SVRM,1,SM_num,1700192045,221
SVRM,1,TPC_cov,1700192045,4437
SVRM,1,leaves_size,1700192045,6
SVRM,1,SM_num,1700192045,187
SVRM,1,TPC_cov,1700192045,4384
SVRM,1,leaves_size,1700192045,8
SVRM,1,SM_num,1700192045,221
SVRM,1,TPC_cov,1700192045,4398
SVRM,1,leaves_size,1700192045,8
SVRM,1,SM_num,1700192045,221
SVRM,1,TPC_cov,1700192045,4412
SVRM,1,leaves_size,1700192045,8
SVRM,1,SM_num,1700192045,221
SVRM,1,TPC_cov,1700192045,4434
SVRM,1,leaves_size,1700192045,8
SVRM,1,SM_num,1700192045,221
SVRM,1,TPC_cov,1700192045,4439
SVRM,1,leaves_size,1700192045,5
SVRM,1,SM_num,1700192045,170
SVRM,1,TPC_cov,1700192045,4384
SVRM,1,leaves_size,1700192045,6
SVRM,1,SM_num,1700192045,187
SVRM,1,TPC_cov,1700192045,4384
SVRM,1,leaves_size,1700192045,8
SVRM,1,SM_num,1700192045,221
SVRM,1,TPC_cov,1700192045,4425
SVRM,1,leaves_size,1700192045,8
SVRM,1,SM_num,1700192045,221
SVRM,1,TPC_cov,1700192045,4427
SVRM,1,leaves_size,1700192045,8
SVRM,1,SM_num,1700192045,221
SVRM,1,TPC_cov,1700192045,4440
SVRM,1,leaves_size,1700192045,4
SVRM,1,SM_num,1700192045,150
SVRM,1,TPC_cov,1700192045,4361
SVRM,1,leaves_size,1700192045,4
SVRM,1,SM_num,1700192045,150
SVRM,1,TPC_cov,1700192045,4364
SVRM,1,leaves_size,1700192045,5
SVRM,1,SM_num,1700192045,170
SVRM,1,TPC_cov,1700192045,4384
SVRM,1,leaves_size,1700192045,8
SVRM,1,SM_num,1700192045,221
SVRM,1,TPC_cov,1700192045,4406
SVRM,1,leaves_size,1700192045,8
SVRM,1,SM_num,1700192045,221
SVRM,1,TPC_cov,1700192045,4406
SVRM,1,leaves_size,1700192045,8
SVRM,1,SM_num,1700192045,221
SVRM,1,TPC_cov,1700192045,4406
SVRM,1,leaves_size,1700192045,8
SVRM,1,SM_num,1700192045,221
SVRM,1,TPC_cov,1700192045,4419
SVRM,1,leaves_size,1700192045,8
SVRM,1,SM_num,1700192045,221
SVRM,1,TPC_cov,1700192045,4420
SVRM,1,leaves_size,1700192045,8
SVRM,1,SM_num,1700192045,221
SVRM,1,TPC_cov,1700192045,4423
SVRM,1,leaves_size,1700192045,8
SVRM,1,SM_num,1700192045,221
SVRM,1,TPC_cov,1700192045,4427
SVRM,1,leaves_size,1700192045,8
SVRM,1,SM_num,1700192045,221
SVRM,1,TPC_cov,1700192045,4427
SVRM,1,leaves_size,1700192045,8
SVRM,1,SM_num,1700192045,221
SVRM,1,TPC_cov,1700192045,4427
SVRM,1,leaves_size,1700192045,8
SVRM,1,SM_num,1700192045,221
SVRM,1,TPC_cov,1700192045,4429
SVRM,1,leaves_size,1700192045,8
SVRM,1,SM_num,1700192045,221
SVRM,1,TPC_cov,1700192045,4430
SVRM,1,leaves_size,1700192045,8
SVRM,1,SM_num,1700192045,221
SVRM,1,TPC_cov,1700192045,4440
SVRM,1,leaves_size,1700192046,12
SVRM,1,SM_num,1700192046,312
SVRM,1,TPC_cov,1700192046,5092
SVRM,1,leaves_size,1700192046,12
SVRM,1,SM_num,1700192046,312
SVRM,1,TPC_cov,1700192046,5094
SVRM,1,leaves_size,1700192046,11
SVRM,1,SM_num,1700192046,293
SVRM,1,TPC_cov,1700192046,5076
SVRM,1,leaves_size,1700192046,12
SVRM,1,SM_num,1700192046,312
SVRM,1,TPC_cov,1700192046,5092
SVRM,1,leaves_size,1700192046,12
SVRM,1,SM_num,1700192046,312
SVRM,1,TPC_cov,1700192046,5097
SVRM,1,leaves_size,1700192046,9
SVRM,1,SM_num,1700192046,240
SVRM,1,TPC_cov,1700192046,4877
SVRM,1,leaves_size,1700192046,9
SVRM,1,SM_num,1700192046,240
SVRM,1,TPC_cov,1700192046,4881
SVRM,1,leaves_size,1700192046,11
SVRM,1,SM_num,1700192046,293
SVRM,1,TPC_cov,1700192046,5071
SVRM,1,leaves_size,1700192046,11
SVRM,1,SM_num,1700192046,293
SVRM,1,TPC_cov,1700192046,5072
SVRM,1,leaves_size,1700192046,11
SVRM,1,SM_num,1700192046,293
SVRM,1,TPC_cov,1700192046,5073
SVRM,1,leaves_size,1700192046,11
SVRM,1,SM_num,1700192046,293
SVRM,1,TPC_cov,1700192046,5076
SVRM,1,leaves_size,1700192046,12
SVRM,1,SM_num,1700192046,312
SVRM,1,TPC_cov,1700192046,5096
SVRM,1,leaves_size,1700192046,8
SVRM,1,SM_num,1700192046,221
SVRM,1,TPC_cov,1700192046,4443
SVRM,1,leaves_size,1700192046,8
SVRM,1,SM_num,1700192046,221
SVRM,1,TPC_cov,1700192046,4444
SVRM,1,leaves_size,1700192046,8
SVRM,1,SM_num,1700192046,221
